"agency_name","agency_departure_board_url_template"
db,"http://iris.noncd.db.de/wbt/js/index.html?bhf={stop_id}"
mvv,"https://efa.mvv-muenchen.de/mobile/XSLT_DM_REQUEST?limit=10&mode=direct&stateless=1&type_dm=stop&useRealtime=1&itdTripDateTimeDepArr=dep&name_dm={stop_id}"
nvbw,"http://www.efamobil.de/mobile3/XSLT_DM_REQUEST?limit=10&mode=direct&stateless=1&type_dm=stop&useRealtime=1&itdTripDateTimeDepArr=dep&name_dm={stop_id}"
vbb,"http://fahrinfo.vbb.de/bin/stboard.exe/dn?start=1&L=vs_html5&boardType=dep&maxJourneys=10&input={stop_id}"
vgn,"http://m.vgn.de/komfortauskunft/haltestelle/?sl=s:{stop_id}"
by,"http://www.bayern-fahrplan.de/m5/de/?name_dm={stop_id}#departures"
vrn,"https://www.vrn.de/mng/#/XSLT_DM_REQUEST?dm={stop_id}"
rnn,"http://fahrplanauskunft.vrn.de/rnn_mobile/XSLT_DM_REQUEST?limit=10&mode=direct&stateless=1&type_dm=stop&useRealtime=1&itdTripDateTimeDepArr=dep&name_dm={stop_id}"
vrt,"http://efa9.vrn.de/vrt_mobile/XSLT_DM_REQUEST?limit=10&mode=direct&stateless=1&type_dm=stop&useRealtime=1&itdTripDateTimeDepArr=dep&name_dm={stop_id}"
vrm,"https://www.vrn.de/mng/#/XSLT_DM_REQUEST?dm={stop_id}"
vvo,"https://www.vvo-mobil.de/#/app/arrivalsAndDepartures?context=shared&stop={stop_id}&time={date_iso}&isArrival=false"
vvv,"http://195.30.98.162:8081/mobile/XSLT_DM_REQUEST?limit=10&mode=direct&stateless=1&type_dm=stop&useRealtime=1&itdTripDateTimeDepArr=dep&name_dm={stop_id}"
zvon,"https://www.vvo-mobil.de/#/app/arrivalsAndDepartures?context=shared&stop={stop_id}&time={date_iso}&isArrival=false"
rmv,"https://www.rmv.de/auskunft/bin/jp/stboard.exe/dn?start=1&L=vs_html5&boardType=dep&maxJourneys=10&start=yes&input={stop_id}"
nvv,"http://auskunft.nvv.de/auskunft/bin/jp/stboard.exe/dox/dn?L=vs_html5&boardType=dep&maxJourneys=10&start=yes&input={stop_id}"
saarvv,"http://www.saarfahrplan.de/cgi-bin/stboard.exe/dox/dn?L=vs_html5&boardType=dep&maxJourneys=10&start=yes&input={stop_id}"
vgm,"http://pda.vrr.de/vrr_mobile/XSLT_DM_REQUEST?limit=10&mode=direct&stateless=1&type_dm=stop&useRealtime=1&itdTripDateTimeDepArr=dep&name_dm={stop_id}"
owlv,"http://pda.vrr.de/vrr_mobile/XSLT_DM_REQUEST?limit=10&mode=direct&stateless=1&type_dm=stop&useRealtime=1&itdTripDateTimeDepArr=dep&name_dm={stop_id}"
nph,"http://pda.vrr.de/vrr_mobile/XSLT_DM_REQUEST?limit=10&mode=direct&stateless=1&type_dm=stop&useRealtime=1&itdTripDateTimeDepArr=dep&name_dm={stop_id}"
vgws,"http://pda.vrr.de/vrr_mobile/XSLT_DM_REQUEST?limit=10&mode=direct&stateless=1&type_dm=stop&useRealtime=1&itdTripDateTimeDepArr=dep&name_dm={stop_id}"
vrs,"http://pda.vrr.de/vrr_mobile/XSLT_DM_REQUEST?limit=10&mode=direct&stateless=1&type_dm=stop&useRealtime=1&itdTripDateTimeDepArr=dep&name_dm={stop_id}"
aav,"http://pda.vrr.de/vrr_mobile/XSLT_DM_REQUEST?limit=10&mode=direct&stateless=1&type_dm=stop&useRealtime=1&itdTripDateTimeDepArr=dep&name_dm={stop_id}"
vrr,"http://pda.vrr.de/vrr_mobile/XSLT_DM_REQUEST?limit=10&mode=direct&stateless=1&type_dm=stop&useRealtime=1&itdTripDateTimeDepArr=dep&name_dm={stop_id}"
vrl,"http://pda.vrr.de/vrr_mobile/XSLT_DM_REQUEST?limit=10&mode=direct&stateless=1&type_dm=stop&useRealtime=1&itdTripDateTimeDepArr=dep&name_dm={stop_id}"
