stop_id,stop_name,stop_lon,stop_lat,stop_code
"10200","Quetzdölsdorf, Am Friedhof",12.137002,51.587322,""
"10373","Kerchauer Wald (Lindau)",12.123958,52.031857,""
"10466","Wolfen, Damaschkestr.",12.264514,51.659604,""
"10462","Löberitz, Str. der Jugend",12.151501,51.65484,""
"10600","Reppichau, Am Anger",12.077286,51.810902,""
"10475","Gröbzig, Hallesche Str.",11.879497,51.680477,""
"11378","Trinum, Kirchstr.",11.909763,51.773642,""
"17366","Hagendorf (Nedlitz)",12.248917,52.070438,""
"22403","Nedlitz (Fläming), Dobritzer Str.",12.245223,52.074061,""
"22900","Brösa, Mühlstr.",12.511276,51.615737,""
"4683","Brösa (Rösa)",12.512661,51.612537,""
"4576","Schwemsal, Bitterfelder Str.",12.554461,51.62656,""
"4564","Schwemsal, Tornauer Str.",12.558686,51.627019,""
"22646","Grimme, Golmenglin",12.334773,52.028935,""
"20007","Lindau (Anhalt), Deetzer Str./Ortsausgang",12.124839,52.041475,""
"22917","Zerbst/Anhalt, Kirschallee/Askom",12.101404,51.952842,""
"22920","Zerbst/Anhalt, Stadtwerke",12.097773,51.95748,""
"22919","Zerbst/Anhalt, Goethestr.",12.094411,51.975414,""
"22918","Zerbst/Anhalt, Karl-Marx Str.",12.092083,51.953552,""
"22899","Lindau, Bahnwärterhäuschen",12.091525,52.031362,""
"30011","Lindau (Anhalt), Vordamm (Wendeplatz)",12.090204,52.038284,""
"30015","Zerbst/Anhalt, Jeversche Str./Gymnasium",12.086932,51.960752,""
"22912","Zerbst/Anhalt, Amtsmühlenweg/Lepser Str.",12.080531,51.956707,""
"22913","Zerbst/Anhalt, Eckernkamp",12.065915,51.968797,""
"22915","Zerbst/Anhalt, Feuerberg",12.065789,51.969238,""
"15897","Zerbst/Anhalt, Neuer Weg",12.060926,51.974793,""
"4003","Schora, B184",12.01536,52.013824,""
"3986","Nutha, Dorf",12.012861,51.963089,""
"30009","Güterglück, Bahnhofstr. 84",11.991601,51.998741,""
"3981","Nutha, Siedlung",11.987853,51.970928,""
"22645","Badetz (Hohenlepte)",11.987035,51.936715,""
"4004","Güterglück, Bahnhof",11.98547,51.992655,""
"4005","Gehrden, Ringstr.",11.958224,52.008862,""
"3982","Flötz (Gödnitz)",11.926546,51.988178,""
"3983","Gödnitz",11.919427,51.996421,""
"22910","Walternienburg, Ronney",11.914528,51.961588,""
"4899","Chörau,",12.113351,51.815648,""
"4900","Aken, Waldschänke",12.088631,51.850634,""
"4907","Aken, Magnesit",12.083345,51.850841,""
"4912","Aken, Seniorenzentrum",12.072882,51.851866,""
"4909","Aken, Neu-Tornau",12.065627,51.852585,""
"4870","Elsnigk (Bus)",12.056054,51.791899,""
"4911","Aken, Parkstr.",12.053285,51.854131,""
"4913","Aken, Volksbad",12.043604,51.851335,""
"30005","Aken, Burgstr./Poststr.",12.042058,51.855497,""
"4905","Aken, Burgstr.",12.041114,51.855542,""
"4892","Aken, Heidestr.",12.037167,51.849529,""
"4904","Aken, Bahnhof",12.036385,51.853151,""
"22909","Sibbesdorf, Am Gutshaus",12.029293,51.782433,""
"4908","Aken, Mennewitzer Weg",12.027944,51.842733,""
"4903","Aken, Am Finkenherd",12.025347,51.856549,""
"4906","Aken, Heidehof",12.021221,51.832332,""
"4910","Aken, Obselauer Weg",12.021014,51.857322,""
"4880","Diebzig, Ortsmitte",11.940192,51.865314,""
"4881","Diebzig, Ortseingang",11.938673,51.863129,""
"4887","Drosa",11.909548,51.817086,""
"4896","Bobbe (Dornbock), Haltestelle",11.893142,51.836332,""
"4886","Dornbock",11.879982,51.841205,""
"22903","Krina, Gossaer Str.",12.478412,51.659838,""
"30013","Schmerz (Gossa), Landwirtschaftsgenossenschaft",12.461971,51.66711,""
"4631","Plodda, Gemeindeamt",12.44721,51.655784,""
"4675","Gossa, Hauptstr.",12.445143,51.669843,""
"4677","Gossa, Schulstr.",12.445089,51.670167,""
"15635","Gossa, B100",12.444621,51.669987,""
"4676","Gossa, Schule",12.441125,51.673529,""
"17683","Schlaitz, August-Bebel-Str.",12.42694,51.660297,""
"22901","Burgkemnitz, Bahnhof",12.407496,51.68864,""
"4508","Burgkemnitz, Gaststätte",12.404206,51.683156,""
"4684","Burgkemnitz, Ernst-Thälmann-Str.",12.398093,51.687138,""
"4672","Friedersdorf, Sportplatz",12.371584,51.642876,""
"4673","Friedersdorf, Wartehalle",12.368815,51.646238,""
"4670","Friedersdorf, Golpaer Weg",12.362927,51.651271,""
"4671","Friedersdorf, Kraftwerk",12.354621,51.657977,""
"20063","Muldenstein, Bahnhof",12.35366,51.667857,""
"4626","Muldenstein, Neue Burgkemnitzer Str.",12.351206,51.672423,""
"4627","Muldenstein, NP-Kauf",12.345237,51.670472,""
"4628","Muldenstein, Schillerstr.",12.34192,51.670751,""
"4625","Muldenstein, Linde",12.337614,51.664935,""
"4624","Muldenstein, Hohes Ufer",12.336814,51.671165,""
"4602","Roßdorf (Jeßnitz), Kita",12.32511,51.681907,""
"4013","Altjeßnitz, Feuerwehrkrug",12.324256,51.686419,""
"4015","Altjeßnitz, Parkstr.",12.321838,51.691399,""
"22904","Retzau, Wendeplatz",12.315851,51.727383,""
"4615","Raguhn, Angerstr. 19",12.310161,51.710133,""
"4616","Raguhn, Möhlauer Str.",12.310017,51.713108,""
"4642","Jeßnitz (Anhalt), Wall",12.30581,51.681125,""
"4497","Jeßnitz (Anhalt), Leopoldstr.",12.305118,51.683732,""
"4656","Greppin, Waldstr.",12.302574,51.652197,""
"4665","Jeßnitz (Anhalt), Anger",12.302142,51.681152,""
"4507","Greppin, Kino",12.301756,51.646013,""
"4641","Jeßnitz (Anhalt), Touristenstation",12.299886,51.684109,""
"4614","Raguhn, Wittenberger Str.",12.298259,51.712704,""
"4629","Niesau (Schierau)",12.294241,51.75827,""
"4706","Bitterfeld, Parsevalstr.",12.293782,51.642705,""
"4654","Greppin, Salegaster Chaussee",12.292308,51.645671,""
"4613","Raguhn, Schlossstr.",12.29194,51.710196,""
"4612","Raguhn, Marktplatz",12.29194,51.712542,""
"19689","Greppin, Farbenstr.",12.287328,51.648062,""
"4634","Priorau (Schierau), Haltestelle",12.285036,51.732147,""
"4667","Jeßnitz (Anhalt), Dessauer Hof",12.283831,51.682176,""
"4501","Raguhn, Dessauer Str.",12.282861,51.712101,""
"4587","Schierau",12.282708,51.748517,""
"4668","Jeßnitz (Anhalt), LIDL",12.279984,51.684756,""
"13534","Wolfen, Greppiner Str.",12.279247,51.655326,""
"4544","Wolfen, Bahnhof",12.278564,51.661124,""
"13533","Wolfen, Filmweg",12.277809,51.657861,""
"4555","Wachtendorf, Südkauf (Greppin)",12.277512,51.644206,""
"4652","Möst, Hauptstr. (Schierau)",12.275615,51.761947,""
"4569","Steinfurth (Jeßnitz), B184",12.274761,51.676495,""
"4529","Wolfen, Markt",12.274267,51.667524,""
"4525","Wolfen, Jahnstr.",12.273844,51.655442,""
"4572","Wolfen, Sonnenlandschule",12.27379,51.660692,""
"4623","Raguhn, Gartenstr.",12.272766,51.712245,""
"22998","Bobbau, Leipziger Str.",12.272757,51.685664,""
"4499","Möst, Torhaus (Schierau)",12.271453,51.76939,""
"4561","Wolfen, Nord, Franz-Mehring-Str.",12.271444,51.680864,""
"15942","Raguhn, Bahnhof",12.271345,51.708416,""
"4549","Wolfen, Oppenheimstr.",12.27095,51.657852,""
"4526","Wolfen, Kino",12.270285,51.660647,""
"4610","Raguhn, Hallesche Str./Libehna",12.269961,51.707256,""
"4589","Wolfen, Kirchstr.",12.26979,51.663326,""
"4541","Wolfen, Nord, Str. der Republik",12.269413,51.682626,""
"20065","Raguhn, Köthener Str.",12.268909,51.707706,""
"30012","Raguhn, Hallesche Str./Prestara",12.26846,51.70713,""
"4687","Bobbau, Wollmaus",12.26748,51.689251,""
"16779","Wolfen, Nord, Käthe-Kollwitz-Str.",12.266536,51.684235,""
"4611","Raguhn, Markesche Str.",12.265781,51.711445,""
"4559","Wolfen, Nord, Comeniusstr.",12.265278,51.681044,""
"4534","Wolfen, Kulturhaus/Rathaus",12.264918,51.659335,""
"4530","Wolfen, Mozartstr.",12.264882,51.663281,""
"4562","Wolfen, Nord, Fritz-Reuter-Str.",12.26339,51.685889,""
"4560","Wolfen, Nord, Dessauer Allee",12.262554,51.683426,""
"17682","Bobbau, Dorfgemeinschaftshaus",12.262248,51.691408,""
"4535","Wolfen, Thalheimer Str.",12.261277,51.663011,""
"4542","Wolfen, Nord, Verbindungsstr.",12.260109,51.680145,""
"4698","Bobbau, Muldepark",12.259174,51.693916,""
"4505","Wolfen, Goethestr.",12.256657,51.666077,""
"4539","Wolfen, Nord, Otto-Nuschke-Str.",12.256145,51.684577,""
"4550","Wolfen, Friedensallee",12.255929,51.662211,""
"4531","Wolfen, Reudener Str.",12.255722,51.665142,""
"4649","Marke, Bahnhof",12.255003,51.739743,""
"4504","Wolfen, Nord, Nordpark",12.252989,51.686123,""
"4527","Wolfen, Krondorfer Str.",12.252073,51.667893,""
"4533","Wolfen, Siedlung",12.251938,51.661016,""
"22921","Thalheim (Wolfen), Soex",12.250374,51.652072,""
"4650","Marke, Ort",12.248711,51.725981,""
"4543","Wolfen, Nord, Wittener Str.",12.248702,51.687669,""
"4536","Wolfen, Gymnasium",12.247299,51.669439,""
"4545","Wolfen, Baumarkt",12.244881,51.658499,""
"4592","Wolfen, Nord, Auenplatz",12.241951,51.688801,""
"4622","Reuden (b. Wolfen), Hauptstr.",12.232988,51.676019,""
"4565","Siebenhausen (Bobbau)",12.231478,51.691975,""
"4503","Thalheim, Sandersdorfer Str.",12.230867,51.650507,""
"4574","Thalheim, Wolfener Str.",12.23031,51.652422,""
"4573","Thalheim, Siedlung",12.220772,51.654463,""
"4577","Thurland, Hauptstr.",12.220134,51.717477,""
"4578","Thurland, Schule",12.219415,51.715607,""
"4575","Klein-Leipzig",12.208079,51.719482,""
"4644","Lingenau, Forsthaus (Tornau)",12.195863,51.733415,""
