stop_id,stop_name,stop_lon,stop_lat,stop_code
"10001","Röblingen am See, EKZ",11.67074,51.451954,""
"10003","Röblingen am See, Schraplauer Str.",11.67136,51.458156,""
"10069","Stedten",11.684413,51.443441,""
"10070","Stedten, Briese",11.693105,51.442704,""
"10002","Röblingen am See, Güterbahnhof",11.667324,51.462696,""
"1074","Hettstedt, Böttgerstr.",11.519829,51.644961,""
"1132","Hettstedt, Birkenholz",11.511874,51.638947,""
"2080","Sangerhausen, Helmepark 2",11.277858,51.46639,""
"2238","Sangerhausen, Helmepark 1",11.278739,51.468692,""
"15755","Sangerhausen, Schulze-Delitzsch-Str.",11.280644,51.46906,""
"17184","Sangerhausen, Helmepark 3",11.280968,51.467235,""
"2251","Sangerhausen, Arbeitsamt",11.284159,51.469743,""
"2235","Sangerhausen, Erich-Weinert-Str.",11.285462,51.465833,""
"2252","Sangerhausen, Str. der Volkssolidarität",11.288213,51.46159,""
"2234","Sangerhausen, Darrweg",11.289445,51.467811,""
"15745","Sangerhausen, Ernst-Putz-Str.",11.289723,51.464449,""
"2110","Sangerhausen, Polizeirevier",11.290649,51.474085,""
"2244","Sangerhausen, Kyselhäuser Str.",11.290901,51.471092,""
"15746","Sangerhausen, Feuerwehr",11.291045,51.468449,""
"2654","Edersleben",11.291054,51.417552,""
"2241","Sangerhausen, Wilhelm-Koenen-Str.",11.291359,51.455441,""
"2237","Sangerhausen, Friedrich-Engels-Str.",11.291926,51.459819,""
"2245","Sangerhausen, Karl-Liebknecht-Str.",11.29251,51.464089,""
"2220","Sangerhausen, Walther-Rathenau-Str.",11.292528,51.470435,""
"15748","Sangerhausen, John-Schehr-Str.",11.29269,51.455253,""
"22801","Sangerhausen, Schützenplatz",11.293777,51.471487,""
"2228","Sangerhausen, Thomas-Müntzer-Schacht",11.294856,51.483326,""
"2219","Sangerhausen, Ärztehaus",11.294991,51.4607,""
"2236","Sangerhausen, Erfurter Str.",11.295108,51.470489,""
"15752","Sangerhausen, Museum",11.295153,51.478067,""
"22344","Sangerhausen, Förderzentrum",11.295539,51.46159,""
"2227","Sangerhausen, Süd",11.295584,51.448223,""
"15747","Sangerhausen, Juri-Gagarin-Str.",11.295773,51.454587,""
"2233","Sangerhausen, Busbahnhof",11.295854,51.479416,""
"15750","Sangerhausen, Kreisverwaltung",11.296258,51.47742,""
"2072","Sangerhausen, Hüttenstr.",11.296348,51.478526,""
"15744","Sangerhausen, Alban-Hess-Str.",11.296492,51.468053,""
"15753","Sangerhausen, Poetengang",11.296888,51.471361,""
"2508","Helmstal",11.297292,51.496459,""
"2222","Sangerhausen, Obere Karl-Liebknecht-Str.",11.297409,51.456736,""
"15751","Sangerhausen, Markt",11.297832,51.473168,""
"2223","Sangerhausen, Scholl-Gymnasium",11.297966,51.464179,""
"15749","Sangerhausen, Kornmarkt",11.298488,51.473869,""
"15757","Sangerhausen, Vorwerk",11.299342,51.475119,""
"2250","Sangerhausen, Alte Promenade",11.299836,51.471757,""
"2224","Sangerhausen, Sonderschule",11.300474,51.48872,""
"2239","Sangerhausen, Hasental",11.300519,51.455406,""
"17188","Sangerhausen, Borngasse",11.301023,51.47875,""
"2231","Sangerhausen, Hasentorstr.",11.301562,51.484045,""
"2218","Oberröblingen, Gewerbegebiet",11.303189,51.44701,""
"2253","Sangerhausen, Bonifaziusplatz",11.303782,51.479631,""
"15756","Sangerhausen, Speckswinkel",11.304529,51.474364,""
"2240","Sangerhausen, Franz-Heymann-Str.",11.304897,51.483029,""
"2344","Oberröblingen, Schule",11.305329,51.436519,""
"2342","Oberröblingen",11.305499,51.439054,""
"2242","Sangerhausen, Krankenhaus",11.305571,51.47271,""
"2221","Sangerhausen, Riestedter Str.",11.309059,51.476629,""
"2243","Sangerhausen, Kupferhütte",11.309724,51.490284,""
"2225","Sangerhausen, Am Röhrgraben",11.310318,51.475344,""
"2232","Sangerhausen, Am Oberfeld",11.31127,51.470966,""
"2230","Sangerhausen, Walkmühle",11.311504,51.489978,""
"2343","Oberröblingen, Allstedter Str.",11.311612,51.437481,""
