stop_id,stop_name,stop_lon,stop_lat,stop_code
"10399","Magdeburg, Albert-Einstein-Gymnasium",11.594161,52.1574,""
"10281","Magdeburg, Raiffeisenstr.",11.619969,52.109748,""
"10464","Magdeburg, Am Pfahlberg",11.627835,52.179999,""
"1107","Magdeburg, Olvenstedt, Agrarstr.",11.572857,52.156915,""
"3846","Magdeburg, City Carré",11.632949,52.131286,""
"20218","Magdeburg, Hammersteinweg",11.63277,52.116445,""
"4492","Magdeburg, Porsestr.",11.632078,52.111079,""
"3750","Magdeburg, Hamsterbreite",11.631835,52.088426,""
"3859","Magdeburg, Hauptbahnhof (Otto-von-Guericke-Str.)",11.631044,52.129444,""
"3801","Magdeburg, Otternweg",11.626055,52.087356,""
"3800","Magdeburg, Neuer Sülzweg",11.625497,52.177419,""
"2985","Magdeburg, ZOB",11.624572,52.131457,""
"4490","Magdeburg, Milchweg (Bus)",11.624464,52.166668,""
"15559","Magdeburg, Pablo-Picasso-Str.",11.624113,52.171855,""
"20221","Magdeburg, Maybachstr.",11.622926,52.128509,""
"1904","Magdeburg, Damaschkeplatz/Adelheidring (ZOB)",11.622351,52.131934,""
"3663","Magdeburg, Am Hopfengarten",11.621299,52.086727,""
"3665","Magdeburg, Weinbrennerallee",11.621048,52.089855,""
"3654","Magdeburg, Freibad Süd",11.620778,52.094539,""
"22930","Magdeburg, Südfriedhof",11.62014,52.106809,""
"23149","Magdeburg, Kritzmannstr. (Ersatzhalt)",11.619574,52.163513,""
"20230","Magdeburg, Goethestr.",11.618153,52.134136,""
"4489","Magdeburg, Kirschweg",11.617928,52.094592,""
"3066","Beyendorf, Engel/B71",11.615313,52.067679,""
"3664","Magdeburg, Merkurweg",11.615286,52.081684,""
"3729","Magdeburg, Nelkenweg",11.613865,52.100561,""
"19683","Magdeburg, Robert-Koch-Str.",11.612733,52.140635,""
"20318","Magdeburg, Schlachthof",11.612328,52.121506,""
"4495","Magdeburg, Friesenstr.",11.610081,52.135961,""
"20308","Magdeburg, Pallasweg",11.609443,52.08261,""
"3666","Magdeburg, Reform",11.607816,52.089208,""
"13520","Magdeburg, Kirschweg/Magdeburger Ring",11.60653,52.095366,""
"252007","Magdeburg, An der Waldschule",11.605937,52.153598,""
"19681","Magdeburg, Alexander-Puschkin-Str.",11.604481,52.132401,""
"19682","Magdeburg, Harsdorfer Str.",11.603797,52.13543,""
"168","Magdeburg, St.-Michael-Str.",11.597244,52.110494,""
"3720","Magdeburg, An der Enckekaserne",11.595509,52.123277,""
"23101","Magdeburg, Florian-Geyer-Str.",11.585217,52.108211,""
"20319","Magdeburg, Friedenshöhe",11.583356,52.105613,""
"3798","Magdeburg, Emdener Weg",11.579661,52.135619,""
"166","Magdeburg, St.-Josef-Str.",11.579248,52.153031,""
"3138","Magdeburg, Niendorfer Str.",11.57345,52.098844,""
"1212","Magdeburg, Hannoversche Str.",11.572803,52.129453,""
"3804","Magdeburg, Kümmelsberg",11.572641,52.135556,""
"22777","Magdeburg, Olvenstedt, Poststr.",11.571967,52.154919,""
"15929","Magdeburg, Friedhof Klein Ottersleben",11.56642,52.098116,""
"15930","Magdeburg, Hängelsbreite",11.5658,52.09426,""
"22776","Magdeburg, Schule Alt-Olvenstedt",11.565746,52.155602,""
"3009","Magdeburg, Lüttgen-Ottersleben",11.563391,52.097829,""
"3200","Magdeburg, Am Torplatz",11.563031,52.129704,""
"22775","Magdeburg, Alt-Olvenstedt, Stephan-Schütze-Platz",11.561449,52.15607,""
"15928","Magdeburg, Auf den Höhen",11.560946,52.091509,""
"15932","Magdeburg, Sonnenanger",11.560838,52.094233,""
"20161","Magdeburg, Siedlung Baumschule",11.548756,52.065162,""
"3005","Sohlen, Unter der Wiesche",11.640096,52.048136,""
"3072","Beyendorf, Kreisstr.",11.633866,52.052757,""
"3044","Beyendorf, Anker",11.613371,52.057917,""
"7443","Randau, Ortsmitte (Magdeburg)",11.723336,52.060937,""
"7352","Magdeburg, Wanzleber Chaussee",11.568335,52.088624,""
"7320","Magdeburg, Diesdorf",11.569423,52.12903,""
"7354","Magdeburg, Adolf-Jentzen-Str.",11.571256,52.092992,""
"7353","Magdeburg, Osterweddinger Str.",11.572281,52.085603,""
"7355","Magdeburg, Ottersleben, Eichplatz",11.573117,52.089756,""
"7378","Magdeburg, Diesdorfer Wuhne",11.5746,52.124383,""
"7361","Magdeburg, Olvenstedter Grund",11.574618,52.149714,""
"7381","Magdeburg, Hohendodeleber Weg",11.575032,52.117982,""
"7357","Magdeburg, Am Teich",11.575122,52.098215,""
"7365","Magdeburg, Werner-von-Siemens-Ring",11.577962,52.078924,""
"7358","Magdeburg, Schäferbreite",11.578196,52.084165,""
"7338","Magdeburg, Goethepark",11.579913,52.100579,""
"7395","Magdeburg, Sternbogen/Bürgerbüro",11.581351,52.144213,""
"7309","Magdeburg, Klinikum Olvenstedt",11.58172,52.156241,""
"7318","Magdeburg, Schmeilstr.",11.581954,52.128814,""
"7359","Magdeburg, Carl-Miele-Str.",11.582538,52.082421,""
"7310","Magdeburg, Am Stern",11.582808,52.147782,""
"7322","Magdeburg, Schreberstr.",11.583392,52.083464,""
"7356","Magdeburg, Aßmannstr.",11.583671,52.102386,""
"7394","Magdeburg, Drosselsteig",11.583787,52.141022,""
"7311","Magdeburg, Brunnenstieg",11.585846,52.153148,""
"7319","Magdeburg, Westfriedhof",11.586134,52.12859,""
"7379","Magdeburg, Sudenburger Wuhne",11.586457,52.118252,""
"7442","Magdeburg, Harsdorfer Platz",11.588561,52.134711,""
"7308","Magdeburg, Sudenburg, Kroatenweg",11.591186,52.106953,""
"7316","Magdeburg, Flechtinger Str.",11.591788,52.128617,""
"7451","Magdeburg, Hansa-Park",11.592462,52.104211,""
"7306","Magdeburg, Sudenburg, Braunlager Str.",11.593703,52.107294,""
"7425","Magdeburg, Herbert-Landwehr-Str.",11.593748,52.135197,""
"7384","Magdeburg, Förderanlagenbau",11.594035,52.119493,""
"7405","Magdeburg, Rennetal",11.594062,52.140653,""
"7364","Magdeburg, Olvenstedter Scheid",11.594539,52.144851,""
"7396","Magdeburg, Rembrandtweg",11.595033,52.14922,""
"7399","Magdeburg, Fichtestr.",11.595222,52.113272,""
"7382","Magdeburg, Beimsstr.",11.596094,52.118531,""
"7452","Magdeburg, Bahnhof Sudenburg",11.597352,52.119376,""
"7423","Magdeburg, Guts-Muths-Stadion",11.597658,52.135556,""
"7317","Magdeburg, Eisnerstr.",11.598359,52.12903,""
"7376","Magdeburg, Schule Nordwest",11.598611,52.149732,""
"7307","Magdeburg, Ambrosiusplatz",11.598763,52.109425,""
"7377","Magdeburg, Ostrowskistr.",11.599599,52.147063,""
"7397","Magdeburg, Hasenpflugstr.",11.599662,52.144923,""
"7422","Magdeburg, Albert-Vater-Str.",11.600723,52.139107,""
"7304","Magdeburg, Eiskellerplatz",11.602278,52.110845,""
"7406","Magdeburg, Juliusstr.",11.603375,52.149957,""
"7450","Magdeburg, Helmstedter Str.",11.60404,52.119034,""
"7314","Magdeburg, Westring",11.605308,52.129767,""
"7336","Magdeburg, Spielhagenstr.",11.605748,52.127376,""
"7337","Magdeburg, Liebknechtstr.",11.606216,52.123996,""
"7373","Magdeburg, Westringbrücke",11.606764,52.118378,""
"7389","Magdeburg, Olvenstedter Platz",11.607501,52.136329,""
"7374","Magdeburg, Lorenzweg",11.607771,52.149391,""
"7305","Magdeburg, Südring",11.608031,52.113191,""
"7301","Magdeburg, Hermann-Gieseler-Halle",11.608256,52.123538,""
"7371","Magdeburg, Annastr.",11.608975,52.130612,""
"7375","Magdeburg, Boquet-Graseweg",11.609452,52.146919,""
"6557","Magdeburg, Südring/Brunnerstr.",11.609524,52.113892,""
"7454","Magdeburg, Stormstr.",11.609748,52.13953,""
"7372","Magdeburg, Steinigstr.",11.609829,52.133084,""
"7343","Magdeburg, Reform, Werner-Seelenbinder-Str.",11.610908,52.089855,""
"7315","Magdeburg, Arndtstr.",11.611061,52.130271,""
"7303","Magdeburg, Jordanstr.",11.611672,52.115034,""
"7300","Magdeburg, Wilhelm-Külz-Str.",11.612364,52.126288,""
"7421","Magdeburg, Lilienweg/Narzissenweg",11.612364,52.095042,""
"7418","Magdeburg, Kleiststr.",11.61276,52.124122,""
"7342","Magdeburg, Galileostr.",11.61542,52.090538,""
"5811","Magdeburg, Semmelweisstr.",11.615537,52.106144,""
"7440","Magdeburg, Neptunweg",11.615582,52.087725,""
"7321","Magdeburg, Gerhart-Hauptmann-Str.",11.616535,52.130361,""
"7391","Magdeburg, Ebendorfer Str.",11.617021,52.135296,""
"7455","Magdeburg, Westernplan",11.617434,52.140024,""
"7329","Magdeburg, Halberstädter Str./Leipziger Str.",11.619672,52.118135,""
"7324","Magdeburg, Am Fuchsberg",11.619681,52.113901,""
"7326","Magdeburg, Fermersleber Weg",11.620284,52.103959,""
"7325","Magdeburg, Universitätsklinikum",11.620508,52.101604,""
"7328","Magdeburg, Leipziger Chaussee",11.620913,52.092111,""
"7436","Magdeburg, Lindenhof/Flugplatz",11.621003,52.081828,""
"7386","Magdeburg, Kannenstieg",11.621569,52.17439,""
"7380","Magdeburg, Ringfurther Weg",11.621956,52.162012,""
"7426","Magdeburg, Gagernstr.",11.622953,52.14077,""
"7390","Magdeburg, Damaschkeplatz/ZOB",11.623511,52.132275,""
"7385","Magdeburg, Hans-Grundig-Str.",11.624014,52.173212,""
"7327","Magdeburg, Schilfbreite",11.624158,52.094592,""
"7383","Magdeburg, Hans-Eisler-Platz",11.624275,52.169401,""
"6545","Magdeburg, Hasselbachplatz (Sternstr.) (Tram/Bus)",11.627565,52.119969,""
"7330","Magdeburg, Hasselbachplatz (Tram/Bus)",11.627736,52.120742,""
"7410","Magdeburg, Planckstr.",11.628347,52.11694,""
"7417","Magdeburg, Haeckelstr./Museum",11.628608,52.124554,""
"7340","Magdeburg, Hopfenbreite",11.629381,52.095078,""
"7392","Magdeburg, Verkehrsbetriebe",11.630262,52.12788,""
"7348","Magdeburg, Krähenstieg",11.630675,52.17332,""
"7335","Magdeburg, Neustädter Platz",11.631646,52.169661,""
"7332","Magdeburg, Domplatz/Volksbank",11.631781,52.124994,""
"7427","Magdeburg, Walther-Rathenau-Str.",11.631997,52.139503,""
"7334","Magdeburg, Klosterwuhne",11.633381,52.165571,""
"7367","Magdeburg, Bebertaler Str.",11.634289,52.162443,""
"7362","Magdeburg, Virchowstr.",11.634298,52.13561,""
"5253","Randau, Müllerbreite (Magdeburg)",11.723372,52.063409,""
"95479","Beyendorf, Obere Siedlung",11.633012,52.057413,""
"7540","Magdeburg, Westerhüsen (Betriebshof)",11.67866,52.056514,""
"7538","Magdeburg, Schleswiger Str.",11.679037,52.06135,""
"7460","Randau, Schloss (Magdeburg)",11.728055,52.059058,""
"822","Magdeburg, Birnengarten",11.561126,52.088857,""
"9335","Magdeburg, Nordstr.",11.570385,52.159531,""
"9336","Magdeburg, Großer Silberberg",11.571472,52.170767,""
"9330","Magdeburg, Am Sportplatz",11.572434,52.152609,""
"7486","Magdeburg, Olvenstedt, Klusweg",11.572461,52.155656,""
"9331","Magdeburg, Reiterweg",11.572515,52.150505,""
"9337","Magdeburg, Agrarstr.",11.572857,52.156906,""
"7544","Magdeburg, Otto-Richter-Str.",11.585783,52.115295,""
