stop_id,stop_name,stop_lon,stop_lat,stop_code
"3420017","Flensburg Kauslund",9.489535,54.802917,""
"3420034","Tarup Rüllschauer Weg",9.486478,54.779473,""
"3420030","Tarup Bäckerweg",9.479799,54.780713,""
"3420032","Tarup Wiedeberger Weg",9.479691,54.782592,""
"3421012","Flensburg Friedheimschule",9.476698,54.81187,""
"3420031","Tarup Norderlück",9.474568,54.785406,""
"3420033","Tarup Kreuzlücke",9.472815,54.781909,""
"3421004","Flensburg Brahmsstraße",9.472113,54.790736,""
"3420011","Flensburg-Engelsby Nordstraße",9.46965,54.794422,""
"3420001","Flensburg Kurt-Tucholsky-Schule",9.467691,54.786304,""
"3420000","Flensburg Adelby/Kirche",9.466864,54.781972,""
"3420181","Flensburg Friholtschule/Ringstraße",9.466252,54.780381,""
"3420313","Flensburg Adelby Schule",9.466172,54.780785,""
"3420180","Flensburg Friholtschule/Elbestraße",9.46494,54.800723,""
"3421013","Flensburg Fördegymnasium",9.463789,54.802638,""
"3421011","Flensburg Fridtjof-Nansen-Schule",9.461758,54.803582,""
"3420042","Flensburg Seewarte",9.459475,54.807258,""
"3420057","Tastrup Tastrupfeld",9.459106,54.755741,""
"3421020","Flensburg Jens-Jessen-Skolen",9.458108,54.807618,""
"3420311","Flensburg Ziegeleistraße",9.45747,54.804894,""
"3420315","Tastrup Abzw. Kleintastrup",9.457083,54.759786,""
"3421009","Flensburg Fruerlundschule",9.456868,54.7939,""
"3420003","Flensburg Sünderuper Weg",9.456301,54.781073,""
"3420702","Flensburg Campus Uni",9.455492,54.776542,""
"3420004","Flensburg Martinstift",9.455277,54.759112,""
"3420045","Flensburg Stadion",9.45525,54.801838,""
"3420002","Flensburg Kantstraße",9.452966,54.781558,""
"3420907","Flensburg Campus/Mensa",9.452301,54.776371,""
"3421005","Flensburg Käte-Lassen-Schule",9.45089,54.787851,""
"3420161","Flensburg Schulze-Delitzsch-Straße",9.449551,54.77905,""
"3420131","Flensburg Johannismühle",9.449227,54.780776,""
"3420072","Flensburg Adelbylund/Mühle",9.449074,54.782529,""
"3421027","Flensburg Jørgensby-Skolen",9.448319,54.783131,""
"3421007","Flensburg Hohlwegschule",9.44715,54.784498,""
"3420700","Flensburg Campus FH",9.447052,54.775275,""
"3420132","Flensburg Kanzleistraße",9.44609,54.778511,""
"3420016","Flensburg Kanzleistraße Abzw.",9.445514,54.782574,""
"3420019","Flensburg Steinfelder Weg",9.44458,54.76633,""
"3420044","Flensburg St.-Jürgen-Platz",9.444328,54.78759,""
"3420040","Flensburg Hafermarkt",9.442818,54.783113,""
"3421008","Flensburg Goetheschule",9.442467,54.786844,""
"3420149","Flensburg Mühlendamm",9.441173,54.777405,""
"3420036","Flensburg Angelburger Straße",9.439402,54.783293,""
"3420027","Flensburg Valentinerallee",9.438835,54.769692,""
"3420068","Flensburg Hafendamm",9.438629,54.789577,""
"3421021","Flensburg Ballastbrücke",9.438341,54.791635,""
"3420305","Flensburg Munketoft",9.438188,54.777891,""
"3420009","Flensburg Deutsches Haus",9.43773,54.780947,""
"3420028","Flensburg ZOB",9.437442,54.7859,""
"3420171","Flensburg Südermarkt",9.437145,54.781792,""
"3420005","Flensburg Bahnhof",9.437118,54.774744,""
"3420010","Flensburg Eckernförder Landstraße",9.436543,54.770367,""
"3420026","Flensburg Südermarkt",9.436264,54.782493,""
"3420055","Flensburg Neumarkt",9.435644,54.780461,""
"3420143","Flensburg Martinsberg",9.435276,54.778727,""
"3420023","Flensburg Bahnhof/Serpentine",9.43524,54.774906,""
"3420024","Flensburg St. Pauli",9.435213,54.771248,""
"3420054","Flensburg Fuchskuhle",9.435195,54.763768,""
