"stop_id","stop_name","stop_lon","stop_lat","stop_code"
"23208106","Nörde, Post",9.09782,51.53124,"de:5762:8106"
"23207516","Ringelstein, Multh.Hammer",8.59898,51.48738,"de:5774:7516"
"23208198","Bleiwäsche, Siedlung",8.71217,51.46725,"de:5774:8198"
"23208197","Bleiwäsche, Kirche",8.70634,51.47141,"de:5774:8197"
"23208196","Bleiwäsche, Forsthaus",8.7084,51.47716,"de:5774:8196"
"23207533","Ringelstein, Abzw. Harth",8.59289,51.49741,"de:5774:7533"
"23208195","Bleiwäsche, Aabachtalsperre",8.71744,51.49601,"de:5774:8195"
"23208152","Welda (Warburg), Zur Kohlwiese",9.11058,51.45193,"de:5762:8152"
"23208150","Welda (Warburg), Wittmarstraße",9.11522,51.45338,"de:5762:8150"
"23208096","Herlinghausen (HX), Feuerwehr",9.20521,51.47003,"de:5762:8096"
"23208097","Herlinghausen (HX), Herlinghausen Mitte",9.20245,51.46999,"de:5762:8097"
"23208079","Calenberg, Dorfstraße",9.16371,51.46507,"de:5762:8079"
"23240119","Calenberg, Abzw. Burg",9.16579,51.46604,"de:5762:40119"
"23208080","Calenberg, Burg",9.16511,51.46733,"de:5762:8080"
"23208081","Calenberg, Feuerlöschteich",9.16155,51.46809,"de:5762:8081"
"23208082","Dalheim (Warburg), Dalheim Mitte",9.18735,51.48059,"de:5762:8082"
"23208154","Wormeln, Ortsmitte",9.13301,51.47238,"de:5762:8154"
"23240603","Wormeln, Zum Lütal",9.13643,51.47418,"de:5762:40603"
"23208151","Welda (Warburg), Gladenhaus",9.11915,51.47191,"de:5762:8151"
"23208099","Warburg (Westf), Kuhlemühle",9.18681,51.48652,"de:5762:8099"
"23209833","Warburg (Westf), Am Runden Berg",9.15632,51.48217,"de:5762:9833"
"23208133","Warburg (Westf), Calenberger Straße",9.15298,51.48235,"de:5762:8133"
"23240252","Warburg (Westf), Abzweig Schanze",9.15792,51.48315,"de:5762:40252"
"23209100","Warburg (Westf), Paul-Klee-Straße",9.15988,51.48375,"de:5762:9100"
"23209099","Warburg (Westf), Spielplatz",9.15818,51.48358,"de:5762:9099"
