stop_id,stop_name,stop_lon,stop_lat,stop_code
"2200006","Kassel Friedrichsplatz",9.495324,51.314176,""
"2200004","Kassel Am Stern",9.500259,51.318041,""
"2200005","Kassel Kirchweg",9.465434,51.312549,""
"2200003","Kassel Rathaus",9.492204,51.312333,""
"2200001","Kassel Hauptbahnhof",9.491027,51.317556,""
"2200002","Kassel Königsplatz",9.497921,51.315785,""
"2200008","Kassel Annastraße",9.479116,51.315309,""
"2200009","Kassel Weserspitze",9.512924,51.323237,""
"2200010","Kassel Ständeplatz",9.48842,51.314194,""
"2200011","Kassel Ihringshäuser Straße",9.517266,51.33922,""
"2200012","Kassel Holländische Straße",9.481103,51.339957,""
"2200007","Kassel Bahnhof Wilhelmshöhe",9.446962,51.313178,""
"2200014","Kassel Holländischer Platz/Universität",9.502075,51.320729,""
"2200015","Kassel Halitplatz",9.49998,51.326914,""
"2200013","Kassel Leipziger Platz",9.531029,51.303695,""
"2200019","Kassel Katzensprung",9.508457,51.318644,""
"2200025","Kassel Klinikum Kassel",9.509769,51.327309,""
"2200018","Kassel Hegelsbergstraße",9.49046,51.33691,""
"2200017","Kassel Wiener Straße",9.494524,51.334195,""
"2200024","Kassel Mittelring",9.510228,51.325107,""
"2200026","Kassel Simmershäuser Straße",9.511423,51.330402,""
"2200020","Kassel Kaulbachstraße",9.513293,51.327983,""
"2200021","Kassel Eisenschmiede",9.513356,51.330914,""
"2200022","Kassel Koboldstraße",9.513527,51.334869,""
"2200023","Kassel Arnimstraße",9.515585,51.33797,""
"2200016","Kassel Hauptfriedhof",9.49829,51.330833,""
"2200051","Kassel Oberzwehren Mitte",9.449029,51.277545,""
"2200070","Kassel Schule Wolfsanger",9.534705,51.333746,""
"2200030","Kassel Kirche Wolfsanger",9.533276,51.326905,""
"2200059","Kassel Rotes Kreuz",9.452769,51.313169,""
"2200058","Kassel Berlepschstraße",9.457542,51.312953,""
"2200072","Kassel Hugo-Preuß-Straße",9.415697,51.304009,""
"2200060","Kassel Rolandstraße",9.442063,51.31325,""
"2200052","Kassel Mattenberg",9.441505,51.272268,""
"2200066","Kassel Walther-Schücking-Platz",9.440867,51.311479,""
"2200048","Kassel Keilsbergstraße",9.457955,51.279577,""
"2200061","Kassel Kunoldstraße",9.440085,51.313798,""
"2200029","Kassel Wolfsgraben",9.529923,51.328181,""
"2200041","Kassel Heinrich-Heine-Straße",9.484069,51.303856,""
"2200032","Kassel Altmarkt/Regierungspräsidium",9.504654,51.31627,""
"2200073","Kassel Scheidemannplatz",9.492474,51.316154,""
"2200037","Kassel Kirchgasse",9.526273,51.306167,""
"2200067","Kassel Christuskirche",9.432624,51.311722,""
"2200033","Kassel Unterneustädter Kirchplatz",9.509284,51.313475,""
"2200062","Kassel Hessischer Rundfunk",9.431195,51.314347,""
"2200031","Kassel Wolfsanger",9.541312,51.327831,""
"2200047","Kassel Brüder-Grimm-Straße",9.464266,51.282084,""
"2200068","Kassel Wigandstraße",9.42786,51.310014,""
"2200063","Kassel Kurhessen-Therme",9.427833,51.314976,""
"2200053","Kassel Ausbesserungswerk",9.465857,51.332118,""
"2200055","Kassel Wilhelmsstraße/Stadtmuseum",9.48931,51.314239,""
"2200028","Kassel Am Fasanenhof",9.523154,51.328577,""
"2200034","Kassel Platz der Deutschen Einheit",9.512709,51.310904,""
"2200046","Kassel Dennhäuser Straße",9.469138,51.284754,""
"2200065","Kassel Wilhelmshöhe (Park)",9.423581,51.315767,""
"2200045","Kassel Leuschnerstraße",9.473327,51.290696,""
"2200040","Kassel Am Weinberg",9.487665,51.307263,""
"2200039","Kassel Lindenberg",9.546841,51.295002,""
"2200069","Kassel Brabanter Straße",9.42208,51.309627,""
"2200036","Kassel Hinter dem Fasanenhof",9.521644,51.329844,""
"2200057","Kassel Murhardstraße/Universität",9.474136,51.312126,""
"2200044","Kassel DEZ-Einkaufszentrum",9.474154,51.289537,""
"2200043","Kassel Park Schönfeld",9.479116,51.296117,""
"2200042","Kassel Auestadion",9.481076,51.298706,""
"2200035","Kassel Sandershäuser Straße",9.517824,51.30916,""
"2200056","Kassel Weigelstraße",9.482775,51.311686,""
"2200071","Kassel Waldorfschule",9.41701,51.307299,""
"2200027","Kassel Alte Stadtgrenze",9.518956,51.326204,""
"2200038","Kassel Forstfeldstraße",9.538526,51.298184,""
"2200166","Kassel Kellermannstraße",9.519145,51.32899,""
"2200197","Kassel Neue Drusel",9.402897,51.305376,""
"2200458","Kassel Erlenloch",9.404299,51.347823,""
"2200353","Kassel Birkenkopf",9.405944,51.280368,""
"2200487","Kassel Am Steinbruch",9.409369,51.303137,""
"2200207","Kassel Blütenweg",9.409872,51.294031,""
"2200209","Kassel Brasselsberg",9.410205,51.287307,""
"2200198","Kassel Alte Drusel",9.39557,51.307488,""
"2200208","Kassel Bilsteiner Born",9.411436,51.290975,""
"2200206","Kassel Zeche-Marie-Weg",9.411589,51.296773,""
"2200283","Kassel Rasenallee",9.413063,51.331157,""
"2200111","Kassel Seniorenwohnsitz",9.413135,51.301384,""
"2200429","Kassel Forstamt",9.413261,51.308962,""
"2200437","Kassel Druseltal",9.414403,51.301187,""
"2200158","Kassel Breslauer Straße",9.518929,51.292098,""
"2200282","Kassel Sonnenhang",9.414591,51.335121,""
"2200400","Kassel Ev. Fröbelseminar",9.414987,51.310499,""
"2200155","Kassel GVZ Kassel",9.518552,51.274075,""
"2200101","Kassel Nordshäuser Straße",9.415041,51.291361,""
"2200311","Kassel Eschebergstraße",9.41514,51.336856,""
"2200457","Kassel Kreuzung Rasenallee",9.415526,51.349396,""
"2200210","Kassel Emmauskirche",9.415535,51.288539,""
"2200153","Kassel Auf dem Kampe",9.519451,51.28043,""
"2200205","Kassel Im Rosental",9.416461,51.299712,""
"2200452","Kassel Söhrestraße",9.518327,51.302886,""
"2200122","Kassel Schule Bossental",9.519837,51.33753,""
"2200284","Kassel Wilhelm-Führer-Straße",9.418025,51.332074,""
"2200199","Kassel Neuholland",9.390437,51.308971,""
"2200431","Kurhausstraße",9.418313,51.312342,""
"2200352","Kassel Fuhrmannsbreite",9.521033,51.330393,""
"2200281","Kassel Felix-Blumenfeld-Straße",9.418493,51.335121,""
"2200886","Kassel Blindenheim",9.418502,51.337368,""
"2200160","Kassel Kasseler Straße",9.517347,51.289321,""
"2200211","Kassel Sandbuschweg",9.418673,51.285491,""
"2200195","Kassel Niederwaldstraße",9.419607,51.303065,""
"2200092","Kassel KVG-Betriebshof",9.521293,51.3096,""
"2200212","Kassel Hohefeldstraße",9.420515,51.283586,""
"2200163","Kassel Friedhof Waldau",9.517212,51.284736,""
"2200143","Kassel Lilienthalstraße",9.516808,51.302616,""
"2200091","Kassel Hafenbrücke",9.516673,51.316199,""
"2200144","Kassel Hermann-Bücher-Straße",9.521347,51.300494,""
"2200254","Kassel Gobietstraße 1",9.515316,51.281096,""
"2200164","Kassel Gobietstraße",9.514237,51.281806,""
"2200202","Kassel Herkules",9.390303,51.317259,""
"2200456","Kassel Försterei",9.42092,51.344865,""
"2200181","Kassel Alt Waldau",9.513599,51.289752,""
"2200157","Kassel Nürnberger Straße",9.51359,51.294076,""
"2200200","Kassel Am Ziegenkopf",9.380397,51.309259,""
"2200178","Kassel Hafen",9.521716,51.317062,""
"2200492","Kassel Dieselstraße",9.522138,51.274659,""
"2200976","Kassel Waldemar-Petersen/Görlitzer Straße",9.522183,51.289662,""
"2200401","Kassel Lindenstraße",9.422439,51.311416,""
"2200336","Kassel Reiherweg",9.422619,51.337647,""
"2200280","Kassel Seebergstraße",9.423032,51.333683,""
"2200496","Kassel Bürgerhaus Waldau",9.522264,51.288062,""
"2200213","Kassel Dornländerweg",9.4251,51.281941,""
"2200084","Kassel Hessenschanze",9.425828,51.325619,""
"2200898","Kassel Nordfriedhof",9.522363,51.33753,""
"2200893","Kassel Freibad Wilhelmshöhe",9.426215,51.307425,""
"2200161","Kassel Waldemar-Petersen-Straße",9.523145,51.289626,""
"2200279","Kassel Lerchenfeldstraße",9.426484,51.333341,""
"2200194","Kassel Dönche",9.426538,51.303802,""
"2200214","Kassel Bühlchenweg",9.426556,51.280619,""
"2200154","Kassel Briefpostzentrum",9.51261,51.274686,""
"2200132","Kassel Zehntscheune",9.512565,51.291559,""
"2200887","Kassel Sperberweg",9.426565,51.337917,""
"2200162","Kassel Liegnitzer Straße",9.52319,51.292377,""
"2200090","Kassel Schützenstraße",9.511963,51.318527,""
"2200177","Kassel Recyclinghof",9.523586,51.313987,""
"2200346","Kassel Heinrich-Hertz-Straße",9.523774,51.278714,""
"2200347","Kassel Industriepark-Waldau-Ost/IKEA",9.524026,51.276988,""
"2200434","Kassel Mülhäuser Platz",9.510965,51.330698,""
"2200093","Kassel Agathofstraße",9.524637,51.310059,""
"2200889","Kassel Freibad Harleshausen",9.429846,51.34011,""
"2200215","Kassel Nordshausen Linde",9.429918,51.280125,""
"2200099","Kassel Schule Heideweg",9.430233,51.306553,""
"2200232","Kassel Landesfeuerwehrschule",9.430278,51.300647,""
"2200083","Kassel Prinzenquelle",9.430709,51.325179,""
"2200145","Kassel Wohnstraße AEG",9.5247,51.297959,""
"2200318","Kassel Rotdornweg",9.524943,51.335588,""
"2200180","Kassel Waitzstraße",9.509554,51.290085,""
"2200175","Kassel Königinhofstraße",9.52595,51.314347,""
"2200453","Kassel Radestraße",9.527757,51.294975,""
"2200151","Kassel Industriepark Waldau-West",9.507855,51.278902,""
"2200455","Kassel Richard-Roosen-Straße",9.507441,51.285114,""
"2200216","Kassel Obere Bornwiesenstraße",9.432687,51.28177,""
"2200133","Kassel Fuldaseen",9.507396,51.292782,""
"2200278","Kassel Wilhelmshöher Weg",9.4331,51.333566,""
"2200233","Kassel Holzgarten",9.433478,51.299371,""
"2200351","Kassel Schaumbergstraße",9.507279,51.330644,""
"2200890","Kassel Am Kubergraben",9.433739,51.335831,""
"2200193","Kassel Heideweg",9.433954,51.305349,""
"2200439","Kassel Bergshäuser Straße",9.50692,51.290292,""
"2200172","Kassel Elektro-Bergmann",9.506803,51.275783,""
"2200277","Kassel Harleshausen Mitte",9.434215,51.337566,""
"2200302","Kassel Mönchebergstraße",9.506641,51.319848,""
"2200217","Kassel Klosterkirche",9.434413,51.280952,""
"2200082","Kassel Stahlbergstraße",9.434736,51.324765,""
"2200168","Kassel AIK-Werk",9.504744,51.279828,""
"2200192","Kassel Frankenstraße",9.437703,51.306382,""
"2200131","Kassel Gesamtschule Waldau",9.527936,51.287541,""
"2200499","Kassel Harleshausen Kirche",9.437793,51.335534,""
"2200165","Kassel Falderbaumstraße",9.503612,51.285554,""
"2200110","Kassel Unter dem Riedweg",9.437927,51.270461,""
"2200263","Kassel Kronenstraße",9.438242,51.338087,""
"2200446","Kassel Waldmannstraße",9.438449,51.269598,""
"2200317","Kassel Schlehenweg",9.528907,51.33451,""
"2200109","Kassel Im Triesch",9.43915,51.271252,""
"2200081","Kassel Riedwiesen",9.439312,51.324082,""
"2200276","Kassel Karlshafener Straße",9.439626,51.336541,""
"2200176","Kassel Lossewerk",9.530256,51.316037,""
"2200261","Kassel Ahnatalstraße",9.440696,51.334051,""
"2200316","Kassel Hörnebachweg",9.531038,51.333188,""
"2200285","Kassel Lilienweg",9.440885,51.340002,""
"2200234","Kassel Westfriedhof",9.44102,51.296575,""
"2200262","Kassel Carlsdorfer Straße",9.441262,51.336559,""
"2200146","Kassel Stegerwaldstraße",9.532036,51.29502,""
"2200130","Kassel Waldauer Weg",9.532161,51.287406,""
"2200260","Kassel Todenhäuser Straße",9.442359,51.329224,""
"2200219","Kassel Brückenhof Mitte",9.442952,51.279774,""
"2200286","Kassel Am Ziegenberg",9.443896,51.342888,""
"2200230","Kassel Schulzentrum Brückenhof",9.444759,51.282606,""
"2200259","Kassel Riedelstraße",9.444759,51.325772,""
"2200191","Kassel Hasselweg",9.444975,51.307812,""
"2200331","Kassel Goldbergstraße",9.503396,51.331112,""
"2200235","Kassel documenta urbana",9.445065,51.293779,""
"2200228","Kassel Altenbaunaer Str./Europaschule",9.445083,51.274345,""
"2200247","Kassel Marbachshöhe",9.445568,51.305025,""
"2200080","Kassel Kirche Kirchditmold",9.445838,51.323012,""
"2200223","Kassel Heinrich-Plett-Straße",9.446332,51.280574,""
"2200449","Kassel Jugendheimstraße",9.44662,51.271603,""
"2200170","Kassel Linde Kühlhaus",9.502928,51.276682,""
"2200183","Kassel Orangerie",9.502632,51.309511,""
"2200319","Kassel Höheweg",9.532242,51.33504,""
"2200094","Kassel Am Sälzerhof",9.532296,51.311551,""
"2200167","Kassel Udet-Haus",9.501859,51.283253,""
"2200275","Kassel Haroldplatz",9.447025,51.333134,""
"2200448","Kassel An den Rehäckern",9.447114,51.269778,""
"2200169","Kassel Otto-Hahn-Straße",9.500762,51.28043,""
"2200182","Kassel Staatstheater",9.5006,51.313079,""
"2200443","Kassel Schenkelsbergstraße",9.447474,51.27439,""
"2200339","Kassel Westring",9.500537,51.325107,""
"2200184","Kassel Fuldauferweg",9.500519,51.304261,""
"2200287","Kassel Kornblumenweg",9.447861,51.343526,""
"2200098","Kassel Leipziger Straße",9.53297,51.302553,""
"2200300","Kassel Goldsternweg",9.447861,51.34509,""
"2200315","Kassel Veilchenweg",9.533456,51.332172,""
"2200258","Kassel Harleshäuser Straße",9.447906,51.323237,""
"2200246","Kassel Helleböhnweg",9.448031,51.302068,""
"2200312","Kassel Meierstraße",9.534193,51.327768,""
"2200229","Kassel Korbacher Straße/Universität",9.449272,51.285402,""
"2200171","Kassel Werner-Heisenberg-Straße",9.499746,51.27794,""
"2200237","Kassel Heiligenbergstraße",9.449802,51.29128,""
"2200185","Kassel Auebad",9.499683,51.300827,""
"2200173","Kassel Brandgasse",9.449847,51.27519,""
"2200222","Kassel Gesamthochschule AVZ",9.450081,51.281617,""
"2200221","Kassel Marmorbad",9.499405,51.31076,""
"2200467","Kassel Bildungszentrum",9.49847,51.283082,""
"2200104","Kassel Vogelsang",9.534319,51.304369,""
"2200298","Kassel Schwedenweg",9.49802,51.348596,""
"2200244","Kassel Süsterfeld",9.450108,51.298481,""
"2200892","Kassel Kirchbergstraße",9.450135,51.275019,""
"2200297","Kassel Alt Philippinenhof",9.497921,51.346294,""
"2200314","Kassel Friedhof Wolfsanger",9.535074,51.331103,""
"2200265","Kassel Bundessozialgericht",9.450369,51.314859,""
"2200450","Kassel Hügelweg",9.450539,51.269913,""
"2200079","Kassel Teichstraße",9.450557,51.321053,""
"2200345","Kassel Königsplatz/Mauerstraße",9.497733,51.317277,""
"2200226","Kassel Felsburgstraße",9.450683,51.271612,""
"2200264","Kassel Dag-Hammarskjöld-Straße",9.4508,51.318392,""
"2200288","Kassel Fingerhutweg",9.451106,51.344892,""
"2200236","Kassel Heinrich-Schütz-Allee",9.451312,51.288746,""
"2200274","Kassel Bahnhof Harleshausen",9.451753,51.331777,""
"2200243","Kassel Rhönplatz",9.452418,51.295802,""
"2200224","Kassel Thomaskirche",9.452427,51.276988,""
"2200220","Kassel Am Rosengarten",9.452679,51.285159,""
"2200147","Kassel Windhukstraße",9.535541,51.293168,""
"2200225","Kassel Bahnhof Oberzwehren",9.453704,51.276637,""
"2200242","Kassel Helleböhn",9.453775,51.29155,""
"2200338","Kassel Struthbach",9.497481,51.331921,""
"2200190","Kassel Virchowstraße",9.453982,51.308252,""
"2200466","Kassel Steinweg",9.49696,51.312747,""
"2200088","Kassel Lutherplatz",9.496609,51.318859,""
"2200289","Kassel Am Kirschrain",9.454153,51.345252,""
"2200320","Kassel Wacholderweg",9.535577,51.334923,""
"2200341","Kassel Wegmannstraße",9.455043,51.341548,""
"2200097","Kassel Salzmannshausen",9.53653,51.313367,""
"2200087","Kassel Wintershall",9.455097,51.315902,""
"2200433","Kassel Wintertalstraße",9.455349,51.273455,""
"2200420","Kassel Simmedenweg",9.455447,51.27581,""
"2200299","Kassel Udenhäuser Straße",9.495773,51.349153,""
"2200078","Kassel Breitscheidstraße",9.456059,51.31885,""
"2200273","Kassel Paul-Gerhardt-Kirche",9.457092,51.330428,""
"2200248","Kassel Kleiner Holzweg",9.457146,51.305636,""
"2200238","Kassel Magazinhof",9.457389,51.291541,""
"2200441","Kassel Unterstadtbahnhof",9.49562,51.323057,""
"2200129","Kassel Wahlebachweg",9.536854,51.289447,""
"2200422","Kassel Warteberg",9.494551,51.34811,""
"2200296","Kassel Caldener Straße",9.494533,51.344434,""
"2200313","Kassel Zeppelinstraße",9.537429,51.329476,""
"2200891","Kassel Bardelebenstraße",9.457731,51.3225,""
"2200105","Kassel Steinbreite",9.537843,51.304944,""
"2200187","Kassel Gärtnerplatzbrücke",9.494128,51.296045,""
"2200335","Kassel Schule Hegelsberg",9.493697,51.340047,""
"2200134","Kassel Messehallen",9.492762,51.290597,""
"2200189","Kassel Pettenkoferstraße",9.457911,51.308989,""
"2200148","Kassel Forstbachweg",9.538652,51.290912,""
"2200493","Kassel Am Kranichholz",9.45854,51.285033,""
"2200089","Kassel Erzbergerstraße",9.492348,51.320154,""
"2200179","Kassel Am Goldbach",9.45872,51.273787,""
"2200290","Kassel Zum Feldlager",9.458773,51.342438,""
"2200333","Kassel Fohlenäckerweg",9.459538,51.328154,""
"2200305","Kassel Knallhütter Straße",9.459852,51.273787,""
"2200489","Kassel Friedhof Wehlheiden",9.460293,51.306742,""
"2200301","Kassel Hagenpark",9.541681,51.309834,""
"2200249","Kassel Königsberger Straße",9.460481,51.305376,""
"2200330","Kassel Struthbachweg",9.491422,51.332703,""
"2200086","Kassel Kongress Palais / Stadthalle",9.460787,51.316082,""
"2200436","Kassel Rathaus/Fünffensterstraße",9.491296,51.312126,""
"2200077","Kassel Aschrottstraße",9.460814,51.318329,""
"2200149","Kassel Wahlebach-Siedlung",9.542175,51.287154,""
"2200303","Kassel Im Ährenfeld",9.461003,51.278678,""
"2200266","Kassel Reuterstraße",9.490371,51.323192,""
"2200304","Kassel Eckhardsborn",9.461263,51.276439,""
