stop_id,stop_name,stop_lon,stop_lat,stop_code
"1000","Zwuschen",13.045631,51.815675,""
"1003","Elster (Elbe), Markt",12.824622,51.827936,""
"1001","Steinsdorf (Jessen)",13.070019,51.827065,""
"1002","Annaburg, Schlossstr.",13.044337,51.729163,""
"1004","Gorsdorf (Jessen)",12.866162,51.799207,""
"1015","Buschkuhnsdorf",13.146724,51.812996,""
"1011","Holzdorf (Elster), Gemeinde",13.130462,51.778433,""
"1014","Premsendorf",13.128557,51.753847,""
"1012","Reicho",13.117788,51.806129,""
"1017","Klossa (Jessen)",13.051115,51.784797,""
"1006","Klöden, Gasthaus",12.830277,51.760553,""
"10118","Prettin, Weinberg (Gestüt)",12.935091,51.668297,""
"1018","Düßnitz (Jessen)",12.87774,51.730808,""
"1019","Rade (b. Lu. Wittenberg), Schmiede",12.884536,51.753991,""
"1024","Kleindröben (Jessen)",12.838996,51.74493,""
"1023","Mauken (Jessen)",12.822123,51.722664,""
"1025","Elster (Elbe), Dresdener Str.",12.833773,51.826462,""
"1038","Hemsendorf, Gasthaus (Jessen)",12.881839,51.793166,""
"10390","Gräfenhainichen, Bahnhofstr.",12.456361,51.728399,""
"10389","Gräfenhainichen, Bahnhof",12.459193,51.725001,""
"1034","Jessen (Elster), Rehainerstr.",12.942956,51.797301,""
"1035","Jessen (Elster), Friedhof",12.953896,51.785337,""
"1036","Jessen (Elster), Bahnhof",12.954085,51.792717,""
"1032","Jessen (Elster), Schützenhaus",12.95573,51.781687,""
"1028","Schweinitz (Jessen), Schule",13.016452,51.798542,""
"10385","Gräfenhainichen, Gewerbegebiet Ost",12.473045,51.736444,""
"1039","Rade (b. Lu. Wittenberg), Ort",12.882459,51.754477,""
"1029","Schweinitz (Jessen), Stadt",13.024138,51.793939,""
"10383","Selbitz, Spritzenhaus",12.531592,51.814821,""
"10400","Oranienbaum, Dessora-Park (Füngers)",12.343718,51.809823,""
"1037","Grabo (Jessen)",12.934318,51.773633,""
"10292","Lu. Wittenberg, Apollensdorf, Hirschsprung",12.574282,51.88962,""
"1021","Rade (b. Lu. Wittenberg), Trockenwerk",12.891089,51.754054,""
"1005","Listerfehrda",12.853019,51.820619,""
