stop_id,stop_name,stop_lon,stop_lat,stop_code
"428","Zehren, Ort (Leppin)",11.625767,52.893032,""
"472","Höwisch, Ort",11.616517,52.872501,""
"16320","Zehren, Abzweig (Leppin)",11.610953,52.883953,""
"195","Leppin, B190",11.574439,52.885652,""
"23086","Leppin, Ortsausgang",11.572039,52.884538,""
"347","Gestien, Ort (Arendsee)",11.542194,52.896601,""
"267","Genzien, Ort (Arendsee)",11.525097,52.886308,""
"316","Kleinau, Ort",11.510391,52.800713,""
"365","Beese (Kalbe), Kreuzung",11.508997,52.733258,""
"266","Packebusch, Ort",11.505114,52.754428,""
"294","Arendsee (Altmark), Seehäuser Str.",11.501824,52.883594,""
"402","Mehrin, Ort (Vienau)",11.501491,52.723262,""
"439","Arendsee (Altmark), Strand",11.501213,52.891297,""
"212","Arendsee (Altmark), Busbahnhof",11.493518,52.878272,""
"15647","Arendsee (Altmark), Klärwerk",11.490677,52.875063,""
"3921","Arendsee (Altmark), Bahnhofstr.",11.489895,52.880097,""
"272","Arendsee (Altmark), Schulen",11.487144,52.87829,""
"235","Packebusch, Naherholung",11.486183,52.751272,""
"3931","Arendsee (Altmark), Friedensstr.",11.48603,52.881607,""
"407","Vienau, Ort",11.48265,52.709796,""
"468","Arendsee (Altmark), Klosterkirche",11.475701,52.880456,""
"280","Lohne, Ort (Kleinau)",11.474622,52.78411,""
"494","Brunau, Schule",11.472393,52.746922,""
"501","Brunau, Ort",11.468878,52.746472,""
"20306","Arendsee (Altmark), Salzwedeler Str.",11.46415,52.875198,""
"25000","Dolchau, Ort",11.461633,52.722579,""
"426","Dolchau, Abzweig Vienau",11.460905,52.721437,""
"409","Arendsee (Altmark), Kurheim",11.450244,52.883576,""
"479","Kerkuhn, Ort (Sanne-Kerkuhn)",11.447511,52.826153,""
"444","Neuendorf am Damm",11.442801,52.64342,""
"387","Schrampe, Ort",11.441902,52.892403,""
"318","Kläden (b. Arendsee), B190",11.43685,52.868285,""
"15645","Sanne, Verkaufsstelle",11.435061,52.82057,""
"231","Kläden (b. Arendsee), Ort",11.434638,52.864977,""
"431","Kahrstedt, Ort",11.431034,52.70905,""
"211","Kerkau, Abzweig",11.43071,52.781467,""
"505","Sanne, Ort (Sanne-Kerkuhn)",11.430539,52.819752,""
"22831","Kahrstedt, Abzweig Vietzen",11.428697,52.709365,""
"292","Kerkau, Ort",11.428166,52.784982,""
"315","Altmersleben (Kalbe), Ort",11.426359,52.685903,""
"467","Jeetze, Ort",11.422242,52.743137,""
"2750","Kraatz, Gehöft (Kläden)",11.419788,52.864923,""
"232","Lübbars, Ort (Kerkau)",11.41221,52.775975,""
"261","Siepe, Ort (Jeetze)",11.405522,52.729528,""
"300","Vietzen, Ort (Kahrstedt)",11.403796,52.710803,""
"23144","Kalbe (Milde), Medianklinik",11.396758,52.652571,""
"314","Kaulitz, Süd",11.394439,52.872923,""
"344","Kaulitz, Ort",11.392911,52.879971,""
"23006","Kaulitz, Bahnhof",11.391086,52.867746,""
"446","Schernikau, Ort (Vissum)",11.390591,52.825928,""
"23196","Kalbe (Milde), Bahnhofstr.",11.389216,52.656598,""
"291","Vahrholz, Ort",11.384946,52.67908,""
"182","Kalbe (Milde), Gardelegener Tor",11.384739,52.654764,""
"269","Fleetmark, Schule",11.381566,52.794942,""
"19986","Kassuhn, Bedarfshaltestelle (Vissum)",11.379571,52.82217,""
"23202","Fleetmark, Bahnhof",11.379283,52.79007,""
"382","Störpke, Ort (Fleetmark)",11.377934,52.749807,""
"3809","Kalbe (Milde), Vahrholzer Str.",11.377224,52.662261,""
"3778","Vahrholz, Galgenberg",11.376541,52.676581,""
"23189","Güssefeld, Dammkrug",11.375193,52.726939,""
"15646","Güssefeld, Ortsausgang Vietzen",11.372945,52.718219,""
"23187","Bühne (b. Kalbe), Gehöfte",11.360675,52.682901,""
"411","Thüritz, Ort (Badel)",11.351335,52.730948,""
"473","Mechau, Ort",11.347416,52.87126,""
"16323","Mechau, Gewerbegebiet",11.346544,52.865157,""
"240","Ladekath, Ort (Rademin)",11.338463,52.79078,""
"345","Faulenhorst, Ort",11.331856,52.657452,""
"436","Ritzleben, Ort (Binde)",11.322462,52.866622,""
"435","Badel (Kalbe), Schule",11.320619,52.731352,""
"210","Winkelstedt, Ort",11.317464,52.677102,""
"342","Badel (Kalbe), Ort",11.315226,52.73146,""
"441","Zierau, Abzweig (Jeggeleben)",11.313104,52.754616,""
"183","Depekolk, Ort",11.309086,52.779786,""
"477","Wustrewe, Ort (Winkelstedt)",11.301868,52.691359,""
"197","Jeggeleben, Feine Sache",11.296546,52.74854,""
"295","Zethlingen, Nord",11.295566,52.706857,""
"238","Zethlingen, Ort",11.289202,52.704007,""
"319","Zethlingen, Kirche",11.287045,52.704259,""
"356","Kakerbeck, Schule",11.284312,52.668122,""
"381","Kakerbeck, Mitte",11.279449,52.667071,""
"323","Königstedt, Ort (Pretzier)",11.279395,52.816795,""
"198","Kakerbeck, Nord",11.277705,52.672455,""
"23203","Kakerbeck, Neue Mühle",11.270711,52.659672,""
"3847","Benkendorf (Salzwedel), Ortsmitte",11.26645,52.790492,""
"16321","Pretzier, Bahnhof",11.263367,52.836086,""
"321","Jeebel, Ort",11.263349,52.864599,""
"234","Büssen (Benkendorf), Ort",11.261956,52.772784,""
"296","Pretzier, Ort",11.261246,52.833901,""
"204","Brüchau (Kakerbeck), Ziegelei",11.259304,52.686973,""
"172","Cheinitz, B71",11.254962,52.702767,""
"433","Jemmeritz, Ort (Kakerbeck)",11.254782,52.649407,""
"351","Sallenthin, Ort (Jeggeleben)",11.252877,52.757115,""
"420","Jemmeritz, Neu (Kakerbeck)",11.251897,52.651636,""
"214","Quadendambeck, B71",11.237172,52.766635,""
"298","Stappenbeck, Ort",11.233631,52.813388,""
"239","Groß Chüden, Ort",11.230853,52.854559,""
"22743","Salzwedel, Arendseer Str./B190",11.222421,52.837704,""
"350","Stappenbeck, Bahnhof",11.222097,52.812983,""
"270","Stappenbeck, B71",11.219077,52.812876,""
"349","Klein Chüden, Ort (Chüden)",11.218322,52.874344,""
"388","Ritze, Ort (Chüden)",11.207607,52.856689,""
"23005","Ritze, Dorfplatz",11.207517,52.858406,""
"20260","Maxdorf, Gehöft (Mahlsdorf)",11.204479,52.777881,""
"175","Salzwedel, Fuchsberg, Käthe-Kollwitz-Str.",11.192793,52.833569,""
"260","Salzwedel, Ahornweg",11.191336,52.841731,""
"22935","Salzwedel, Fuchsberg, BBS Berufsbildende Schule",11.189601,52.833254,""
"461","Salzwedel, Fuchsberg, B71",11.188253,52.831214,""
"458","Salzwedel, Lindenweg",11.184963,52.841884,""
"186","Salzwedel, Klosterkamp",11.180747,52.835663,""
"1299","Altensalzwedel, Kita",11.178823,52.771148,""
"452","Altensalzwedel, Schule",11.178257,52.769907,""
"391","Kricheldorf, Ort (Salzwedel)",11.177628,52.82769,""
"22748","Salzwedel, Krangener Weg",11.176405,52.851493,""
"233","Hoyersburg, Ort (Salzwedel)",11.175668,52.887522,""
"3693","Salzwedel, Gartenstr.",11.170742,52.850109,""
"203","Salzwedel, Kämmereiteiche",11.170095,52.841704,""
"483","Sienau, Ort (Salzwedel)",11.168962,52.824328,""
