stop_id,stop_name,stop_lon,stop_lat,stop_code
"3008553","Darmstadt-Kranichstein Jagdschloß",8.693881,49.898941,""
"3008554","Darmstadt-Kranichstein Kesselhutweg",8.68616,49.895903,""
"3004793","Erzhausen Abzweig Erzhausen",8.669736,49.948229,""
"3008555","Darmstadt Am Karlshof",8.665799,49.882104,""
"3004716","Darmstadt-Wixhausen Messeler Park Straße",8.659012,49.931635,""
"3004718","Darmstadt-Arheilgen Löwenplatz",8.657664,49.910987,""
"3004717","Darmstadt-Arheilgen Messeler Straße",8.655165,49.913387,""
"3004719","Darmstadt Merck",8.654221,49.895579,""
"3004720","Darmstadt Nordbahnhof",8.653241,49.891291,""
"3004721","Darmstadt Rhönring",8.651578,49.884451,""
"3004736","Darmstadt Luisenplatz",8.651254,49.872882,""
"3004722","Darmstadt Mathildenplatz",8.650032,49.874661,""
"3004732","Darmstadt-Wixhausen Bahnhof",8.647596,49.93097,""
"3004733","Darmstadt-Arheilgen Bahnhof",8.645564,49.913621,""
"3004735","Darmstadt Berliner Allee",8.635775,49.870706,""
"3004734","Darmstadt Hauptbahnhof",8.631146,49.871938,""
"3024768","Darmstadt-Kranichstein Einsiedel",8.744769,49.90616,""
"3024749","Darmstadt-Kranichstein Grube Prinz von Hessen",8.734989,49.90287,""
"3015972","Darmstadt Bessunger Forsthaus Jugendhof",8.725577,49.864836,""
"3024496","Darmstadt Oberwaldhaus",8.69683,49.890653,""
"3016027","Darmstadt TU-Lichtwiese Bahnhof",8.687652,49.860881,""
"3024173","Darmstadt Fasanerie",8.685279,49.884145,""
"3024166","Darmstadt-Kranichstein Esselborn/Ökum.GZ",8.682564,49.900937,""
"3024615","Darmstadt Hofgut Oberfeld",8.682079,49.873115,""
"3024260","Darmstadt-Kranichstein Gruberstraße",8.681054,49.898402,""
"3024343","Darmstadt-Kranichstein Institutszentrum",8.680775,49.903094,""
"3024730","Darmstadt TU-Lichtwiese/Mensa",8.680451,49.861052,""
"3024650","Darmstadt-Kranichstein Siemensstraße",8.68029,49.896334,""
"3024518","Darmstadt Rosenhöhe",8.678294,49.873502,""
"3024090","Darmstadt Botanischer Garten/Vivarium",8.678294,49.867884,""
"3011328","Darmstadt-Kranichstein Bahnhof",8.677988,49.904802,""
"3024701","Darmstadt-Kranichstein Wachtelweg",8.677827,49.907895,""
"3024558","Darmstadt Regerweg",8.677584,49.881637,""
"3024662","Darmstadt-Kranichstein Steinstraße",8.676712,49.906016,""
"3024172","Darmstadt-Kranichstein Fasanenweg",8.674842,49.908928,""
"3024082","Darmstadt-Kranichstein Borsdorffstraße",8.674195,49.896388,""
"3011226","Darmstadt Ostbahnhof",8.673817,49.874832,""
"3024039","Darmstadt-Kranichstein Arheilger Mühlchen",8.673494,49.908281,""
"3024704","Mühltal-Nieder-Ramstadt Christophorusschule",8.67282,49.814254,""
"3024673","Darmstadt Alfred-Messel-Weg",8.672748,49.885907,""
"3024363","Darmstadt Kastanienallee",8.67255,49.890536,""
"3024302","Darmstadt Heidenreichstraße",8.671732,49.869007,""
"3024400","Darmstadt-Eberstadt Kühler Grund",8.67113,49.814649,""
"3024655","Darmstadt Spessartring",8.670698,49.879399,""
"3016149","Darmstadt Böllenfalltor",8.669745,49.852602,""
"3024676","Darmstadt Peter-Behrens-Straße",8.66953,49.885278,""
"3024639","Darmstadt Schwarzer Weg",8.669125,49.885745,""
"3024029","Darmstadt-Arheilgen Am Trinkbrunnenpfad",8.669026,49.910861,""
"3024661","Darmstadt Merck-Stadion",8.668613,49.857447,""
"3024062","Darmstadt Beckstraße",8.668406,49.869367,""
