stop_id,stop_name,stop_lon,stop_lat,stop_code
"10","Charlottenhof (b. Bindfelde), Wartehalle",11.925998,52.586177,""
"100","Sandfurth",11.892953,52.363954,""
"101","Ringfurth, Wartehalle",11.904738,52.382238,""
"103","Briest (b. Tangerhütte)",11.842587,52.437765,""
"104","Cobbel",11.858893,52.393888,""
"102","Polte",11.921791,52.391237,""
"105","Groß Schwarzlosen",11.755059,52.504078,""
"106","Klein Schwarzlosen",11.792598,52.497156,""
"107","Hüselitz",11.807556,52.508366,""
"111","Lüderitz, Schule",11.7514,52.506397,""
"110","Demker, Ort",11.853698,52.507386,""
"109","Demker, Bahnhof",11.855415,52.516393,""
"108","Elversdorf",11.873636,52.514515,""
"11","Langensalzwedel",11.939841,52.582042,""
"112","Tangermünde, Lindenstr.",11.972904,52.544395,""
"114","Tangermünde, Lidl-Markt",11.979169,52.547874,""
"5","Polkau",11.755284,52.735811,""
"2510","Osterburg, Gymnasium",11.754852,52.792308,""
"15642","Osterburg, Grundschule",11.757837,52.787193,""
"23178","Osterburg, Weinberg",11.75256,52.795481,""
"20247","Rochau, Gewerbegebiet",11.751706,52.70469,""
"23063","Osterburg, Erzberger Str.",11.757998,52.783013,""
"3932","Seehausen (Altmark), Gymnasium",11.750376,52.891954,""
"15778","Seehausen (Altmark), Wischelandhalle",11.748578,52.891666,""
"42","Belkau (Bismark)",11.763131,52.650126,""
"15776","Osterburg, Sekundarschule",11.747391,52.784056,""
"3427","Rochau, Wartehalle",11.743768,52.707216,""
"142","Rochau, Schule",11.742105,52.708097,""
"3428","Rochau, Nord",11.735777,52.706695,""
"43","Schinne, Schule",11.732145,52.654486,""
"44","Schinne, Dorfmitte",11.730752,52.658755,""
"45","Darnewitz",11.71192,52.645694,""
"15","Groß Ballerstedt",11.709502,52.732934,""
"26","Klein Ballerstedt",11.701996,52.744881,""
"3876","Schartau (Lkr. Stendal)",11.698211,52.698218,""
"15782","Zedau, Billerbeck (Osterburg)",11.690831,52.788101,""
"20248","Schernikau, Dorfmitte",11.767113,52.626071,""
"13","Grünenwulsch",11.680332,52.654647,""
"3425","Grävenitz (Lkr. Stendal)",11.675441,52.720448,""
"23147","Flessau, Hort",11.67492,52.761835,""
"3424","Schorstedt, Wartehalle",11.662713,52.710803,""
"14","Bülitz",11.662137,52.654746,""
"15606","Kläden (b. Stendal), Abzweig Badingen",11.65696,52.629882,""
"3426","Schorstedt, Dorf",11.65589,52.70985,""
"3877","Schmoor",11.643116,52.676096,""
"15775","Rossau, Ortsmitte",11.642181,52.791059,""
"22722","Rossau, Am Parkplatz",11.638999,52.790358,""
"3420","Friedrichsfleiß",11.634019,52.672284,""
"23125","Bretsch, Ort",11.627124,52.838387,""
"48","Schäplitz",11.625066,52.626376,""
"3423","Möllenbeck (Lkr. Stendal)",11.61711,52.713769,""
"50","Garlipp, Landstr.",11.616688,52.640705,""
"23123","Garlipp, Gemeindehaus",11.609146,52.643015,""
"3878","Dobberkau",11.606989,52.704205,""
"23094","Hohenwulsch, Dobberkauer Str.",11.600867,52.673552,""
"3421","Hohenwulsch, Wartehalle",11.598152,52.669686,""
"4","Hohenwulsch, Bahnhof",11.595033,52.667187,""
"3439","Ziegenhagen",11.777316,52.724413,""
"23088","Bismark (Altmark), Stendaler Str.",11.562474,52.659888,""
"290","Bismark (Altmark), Grundschule",11.559867,52.664095,""
