"stop_id","stop_name","stop_lon","stop_lat","stop_code"
"24016865","Bocholt, Am Kreuzberg",6.63176,51.8379,"de:5554:16865"
"24034674","Raesfeld, Bonhoff",6.77745,51.75938,"de:5554:34674"
"24061552","Westerkappeln, Schoppmeyer",7.88539,52.35438,"de:5566:61552"
"24064145","Westerkappeln, Roter Berg",7.88154,52.36096,"de:5566:64145"
"24061547","Mettingen (Westf), Neuenkirchener Str.",7.79248,52.36028,"de:5566:61547"
"24061566","Hopsten, Teskersweg",7.59196,52.34479,"de:5566:61566"
"24061052","Recke, Don-Bosco-Schule",7.73485,52.35022,"de:5566:61052"
"24061628","Recke, Kreuzung Schulstraße",7.72991,52.35171,"de:5566:61628"
"24062237","Steinbeck (b Ibbenb), Abzw. Göskenkamp",7.71601,52.35387,"de:5566:62237"
"24035489","Raesfeld, Schloss",6.82981,51.76719,"de:5554:35489"
"24064422","Hopsten, Hörsteler Str.",7.59478,52.35775,"de:5566:64422"
"24063974","Recke, Neuenkirchener Str. 60",7.74798,52.36678,"de:5566:63974"
"24061425","Hopsten, Abzw. Hauernweg",7.61443,52.35861,"de:5566:61425"
"24035488","Raesfeld, Rathaus",6.83771,51.7687,"de:5554:35488"
"24064409","Hopsten, Feldkampstr.",7.59947,52.36828,"de:5566:64409"
"24068079","Hopsten, Wiesenstr.",7.64428,52.36967,"de:05566:68079"
"24035304","Raesfeld, Hoher Kamp",6.83811,51.77364,"de:5554:35304"
"24061378","Hopsten, Buschkampstr.",7.62327,52.38903,"de:5566:61378"
"24060019","Halverde, Kreienfeld",7.69115,52.39997,"de:5566:60019"
"24063962","Halverde, Am Leuchtturm",7.66862,52.41187,"de:5566:63962"
"24061432","Halverde, Kiebitzweg",7.66843,52.41465,"de:5566:61432"
"24063956","Schale, Bergstr.",7.59411,52.43046,"de:5566:63956"
"24060219","Schale, Eichholzstr.",7.61002,52.44768,"de:5566:60219"
"24061608","Schale, Hollensteder Str.",7.6508,52.4522,"de:5566:61608"
"24061535","Suderwick, Grenze",6.49864,51.86088,"de:5554:61535"
"24061536","Suderwick, Zur Mühle",6.50576,51.85983,"de:5554:61536"
"24035997","Isselburg, Schulzentrum",6.45678,51.83836,"de:5554:35997"
"24061534","Suderwick, Keminksweide",6.51305,51.86078,"de:5554:61534"
"24061607","Schale, Abzw. Listweg",7.6586,52.45842,"de:5566:61607"
"24061550","Schale, An den Eckelkämpen",7.63873,52.4638,"de:5566:61550"
"24061532","Suderwick, Berkendiek",6.52642,51.8615,"de:5554:61532"
"24063627","Westerbeck(W-kappel), Im Hook",7.82661,52.33583,"de:5566:63627"
"24061305","Westerbeck(W-kappel), Hügelstraße",7.83313,52.32456,"de:5566:61305"
"24061533","Suderwick, Karrenweg",6.53602,51.86195,"de:5554:61533"
"24064143","Westerkappeln, Schemme",7.89782,52.34201,"de:5566:64143"
"24061530","Spork (Bocholt), Sporker Ring",6.55025,51.86275,"de:5554:61530"
"24061529","Spork (Bocholt), Heidefeldweg",6.55679,51.86278,"de:5554:61529"
"24064142","Westerkappeln, Hollmann",7.88949,52.33958,"de:5566:64142"
"24060011","Wersen, RWE",7.94871,52.32917,"de:5566:60011"
"24065536","Westerkappeln, Einkaufszentrum",7.87192,52.31463,"de:5566:65536"
"24064214","Westerkappeln, Stadion",7.88373,52.31654,"de:5566:64214"
"24064140","Westerkappeln, Altenheim",7.88328,52.31053,"de:5566:64140"
"24063559","Ladbergen, B475",7.83461,52.11752,"de:5566:63559"
"24061394","Laggenbeck, Konermann",7.82446,52.26623,"de:5566:61394"
"24063626","Kattenvenne, Abzw. Mühlenweg",7.90685,52.11251,"de:5566:63626"
"24061513","Mussum, Pendeweg",6.54082,51.81243,"de:5554:61513"
"24063977","Westerkappeln, Zum Lotter Bf",7.90483,52.29171,"de:5566:63977"
"24063538","Lengerich (Westf), Abzw. Johannesstr.",7.82707,52.16475,"de:5566:63538"
"24064189","Lengerich (Westf), Abzw. Strohdamm",7.82225,52.17928,"de:5566:64189"
"24064108","Westerkappeln, Up Hinnau",7.91159,52.2869,"de:5566:64108"
"24061521","Barlo, Barlo Grenze",6.68382,51.91721,"de:5554:61521"
"24068700","Lengerich (Westf), Abzw. Schrotweg",7.8302,52.1896,"de:05566:68700"
"24061039","Lotte, Westerfeld",7.92647,52.2853,"de:5566:61039"
"24035340","Vardingholt, Zum Venn",6.73929,51.88667,"de:5554:35340"
"24061055","Lotte, Torfkuhlenweg",7.91506,52.28221,"de:5566:61055"
"24064204","Lotte, Riegeweg",7.90871,52.27805,"de:5566:64204"
"24063347","Lengerich (Westf), Auf der Laar",7.85524,52.18674,"de:5566:63347"
"24035339","Vardingholt, Reyerdingst.",6.72623,51.88129,"de:5554:35339"
"24061427","Lengerich (Westf), Niedermarker See",7.8811,52.1573,"de:5566:61427"
"24063551","Lotte, Kreisel Atterfeld",7.95545,52.27355,"de:5566:63551"
"24063539","Lengerich (Westf), Höster Str.",7.89639,52.15996,"de:5566:63539"
"24063624","Osterberg (Lotte), Schonhorst Esch",7.8981,52.24659,"de:5566:63624"
"24035338","Vardingholt, Kiwittstegge",6.71419,51.87731,"de:5554:35338"
"24061073","Lengerich (Westf), Galgenknapp",7.88017,52.18813,"de:5566:61073"
"24061612","Lotte, Zum Knüll",7.92586,52.23897,"de:5566:61612"
"24064064","Lienen/Kr Steinfurt, Holperdorp 51",7.97415,52.16825,"de:5566:64064"
"24060804","Dreierwalde, Hopstener Str.",7.51395,52.34227,"de:5566:60804"
"24064120","Altenberge (Westf), Rustemeier",7.52069,52.06369,"de:5566:64120"
"24060805","Dreierwalde, Schule",7.50434,52.33359,"de:5566:60805"
"24060806","Dreierwalde, Weikamp",7.50898,52.3298,"de:5566:60806"
"24035341","Vardingholt, Gronauer Str.",6.74947,51.87602,"de:5554:35341"
"24064121","Altenberge (Westf), Abzw. L555",7.53422,52.06838,"de:5566:64121"
"24060933","Oeding, Grenzweg",6.79698,51.9365,"de:5554:60933"
"24035337","Vardingholt, Möllenbeck",6.70254,51.87263,"de:5554:35337"
"24064115","Nordwalde, Borgmeier",7.50816,52.08328,"de:5566:64115"
"24035742","Brock (Ostbevern), Sendker",7.78521,52.07536,"de:5570:35742"
"24064114","Nordwalde, Iker",7.51315,52.083,"de:5566:64114"
"24060232","Westerode (Greven), Beckers Kreuz",7.56555,52.06614,"de:5566:60232"
"24060238","Westerode (Greven), Hof Bisping",7.5413,52.07329,"de:5566:60238"
"24060364","Oeding, Kantstr.",6.80641,51.94016,"de:5554:60364"
"24035127","Ostbevern, Abzw. Pumpmeier",7.74683,52.06625,"de:5570:35127"
"24035391","Brock (Ostbevern), Wonnemann",7.77534,52.07487,"de:5570:35391"
"24063385","Hopsten, Speckelnstr.",7.58214,52.34179,"de:5566:63385"
"24035336","Vardingholt, Burloer Diek",6.69141,51.86541,"de:5554:35336"
"24061546","Mettingen (Westf), Abzw. Breslauerring",7.77737,52.3279,"de:5566:61546"
"24064122","Greven (Westf), Abzw. Am Voßkotten",7.54573,52.075,"de:5566:64122"
"24064454","Oeding, Woorteweg",6.81461,51.93574,"de:5554:64454"
"24036795","Brock (Ostbevern), Höppener",7.77325,52.07976,"de:5570:36795"
"24060214","Gimbte, Averkamp",7.63722,52.06265,"de:5566:60214"
