"stop_id","stop_name","stop_lon","stop_lat","stop_code"
"23561114","Eichen (Siegerl), Stendenbacher Weg",7.96729,50.98045,"de:5970:61114"
"23560578","Puderbach (Bad Laasphe), Ortseingang",8.44162,50.94453,"de:5970:60578"
"23560579","Puderbach (Bad Laasphe), Ortsmitte",8.44461,50.95039,"de:5970:60579"
"23566607","Elsoff (Bad Berleburg), Grundschule",8.51375,51.02226,"de:5970:66607"
"23561358","Afholderbach, Ort",8.14008,50.94479,"de:5970:61358"
"23560948","Oechelhausen, Oechelhausen",8.12817,50.95392,"de:5970:60948"
"23561433","Sohlbach (Netphen), Sohlbach",8.15982,50.94874,"de:5970:61433"
"23560928","Grund (Siegerland), Grund",8.13327,50.97191,"de:5970:60928"
"23560588","Weide, Haus Nr. 5",8.28523,50.94396,"de:5970:60588"
"23563270","Lützel (ü Kreuztal), Siedlung",8.17455,50.96204,"de:5970:63270"
"23563268","Lützel (ü Kreuztal), Eisenstraße",8.16709,50.96574,"de:5970:63268"
"23560587","Weide, Haus Nr. 17",8.28657,50.94557,"de:5970:60587"
"23563269","Lützel (ü Kreuztal), In den Eichen",8.16837,50.96779,"de:5970:63269"
"23560958","Vormwald (ü Kreuztal), Schule",8.12989,50.98873,"de:5970:60958"
"23560953","Vormwald (ü Kreuztal), Bahnhof",8.14485,50.98033,"de:5970:60953"
"23561642","Eiserfeld (Siegen), Kaiserschacht",7.98995,50.81861,"de:5970:61642"
"23560580","Rückershausen (Bad Laasphe), Im Boden",8.30095,50.94866,"de:5970:60580"
"23560956","Vormwald (ü Kreuztal), Eichhain",8.13663,50.98626,"de:5970:60956"
"23566028","Rüppershausen, Mühle",8.3137,50.95669,"de:5970:66028"
"23560934","Helberhausen, Helberhausen",8.13584,51.00005,"de:5970:60934"
"23562157","Neunkirchen (Siegerl), Katholische Kirche",8.01043,50.78606,"de:5970:62157"
"23560585","Steinbach (Bad Laasphe), Steinbach",8.3225,50.96161,"de:5970:60585"
"23560935","Helberhausen, Grundschule",8.13723,51.00043,"de:5970:60935"
"23561453","Salchendorf (Neunkirchen/Siegerl), Fritz-Schäfer-Straße",8.01769,50.79589,"de:5970:61453"
"23566251","Hilchenbach, Gasthof",8.20377,50.9713,"de:5970:66251"
"23561625","Eiserfeld (Siegen), Am Freibad",7.99917,50.82312,"de:5970:61625"
