stop_id,stop_name,stop_lon,stop_lat,stop_code
"10020","Ballenstedt, Poststr.",11.227707,51.722349,""
"15589","Gatersleben, Bahnhof",11.290784,51.827972,""
"22379","Hedersleben (am Hakel), Neubauten/L66",11.253686,51.85058,""
"1590","Hedersleben (am Hakel), Magdeburger Str.",11.252904,51.855021,""
"4743","Wedderstedt, Bahnhof",11.250611,51.846274,""
"2613","Endorf",11.375139,51.711967,""
"2614","Endorf, Mühle",11.369332,51.705225,""
"2174","Strommühle (Ermsleben)",11.364325,51.746575,""
"2059","Reinstedt, Am Angelteich",11.358904,51.754755,""
"2311","Reinstedt",11.357394,51.761704,""
"2349","Neuplatendorf",11.354616,51.697952,""
"3412","Ermsleben, Ulme",11.35058,51.732786,""
"2594","Ermsleben, Konradsburger Str.",11.345115,51.728435,""
"2130","Wieserode",11.331155,51.684532,""
"2644","Degenershausen (Wieserode)",11.303288,51.68704,""
"2040","Meisdorf, Falkensteiner Weg",11.300196,51.708029,""
"1628","Meisdorf, Bahnhofstr.",11.29758,51.716003,""
"2388","Meisdorf, Alter Bahnhof",11.294479,51.724704,""
"2389","Meisdorf, Hauptstr.",11.293759,51.709144,""
"2386","Meisdorf, Allee",11.289642,51.707355,""
"2387","Meisdorf, Liethe",11.287656,51.700335,""
"2590","Gartenhaus (Pansfelde)",11.284249,51.678149,""
"2328","Pansfelde",11.278721,51.659865,""
"20084","Nienhagen, Bahnhof",11.169636,51.950397,""
"13148","Groß Quenstedt, Heerstr.",11.118389,51.930431,""
"17675","Schlanstedt, Breite Str.",11.031068,52.012054,""
"3831","Röderhof (Dingelstedt am Huy), Abzweig Huysburg",11.003129,51.965031,""
"2028","Aspenstedt, Auf der Buche",10.948223,51.9332,""
"22415","Hedersleben (am Hakel), Schützenstr.",11.25,51.863057,""
"15562","Wedderstedt, Siedlung",11.242872,51.837348,""
"3408","Ditfurt, Gewerbepark",11.212308,51.821356,""
"23175","Quedlinburg, Groß Orden/HVB",11.181331,51.797526,""
"20242","Wegeleben, Bruchtor",11.177178,51.8858,""
"20243","Wegeleben, Quedlinburger Tor",11.17201,51.881845,""
"4741","Quedlinburg, Magdeburger Str.",11.170634,51.790955,""
"20085","Wegeleben, Bahnhof",11.166985,51.874357,""
"22348","Quedlinburg, Oeringer Str./Klinikum",11.157879,51.790344,""
"15590","Quedlinburg, Bahnhofspark",11.150768,51.785921,""
"22350","Quedlinburg, Wallstr.",11.145348,51.795054,""
"19975","Quedlinburg, Halberstädter Str.",11.140053,51.79678,""
"3407","Quedlinburg, Zum Kleiweg",11.122488,51.793526,""
"156","Münchenhof (Quedlinburg)",11.116097,51.830067,""
"1959","Harsleben, Am Schützenkrug",11.089453,51.874186,""
"19961","Halberstadt, Diakonie Werkstätten",11.082082,51.886753,""
"1963","Halberstadt, Weiße Brücke",11.081299,51.892497,""
"19960","Halberstadt, Am Bahndamm",11.078045,51.885252,""
"1961","Halberstadt, Landgraben",11.077848,51.892632,""
"1965","Halberstadt, Magdeburger Chaussee",11.07783,51.902259,""
"1973","Halberstadt, Wehrstedt, Laurentiusplatz",11.076904,51.903032,""
"1960","Halberstadt, Große Ringstr.",11.0764,51.895958,""
"1985","Halberstadt, Porta",11.076131,51.881503,""
"1955","Halberstadt, Am Sülzegraben",11.074288,51.882888,""
"19959","Halberstadt, Damaschkeweg",11.074126,51.892821,""
"1972","Halberstadt, Kirchstr.",11.073461,51.902178,""
"22576","Halberstadt, Quedlinbgurger Landstr.",11.073092,51.881575,""
"1962","Halberstadt, Kehrstr.",11.072607,51.89683,""
"1953","Halberstadt, Puschkinstr.",11.071906,51.895257,""
"1991","Halberstadt, Turgenjewstr.",11.071699,51.893243,""
"1996","Halberstadt, EDEKA",11.069982,51.88233,""
