stop_id,stop_name,stop_lon,stop_lat,stop_code
"704957","Rostock Stolteraer Weg",12.037419,54.169248,""
"708541","Rostock Stolteraer Weg",12.037562,54.169176,""
"708542","Rostock Streuwiesenweg",12.04212,54.166893,""
"704959","Rostock Streuwiesenweg",12.042174,54.166588,""
"705040","Rostock Kopenhagener Straße",12.043567,54.134496,""
"708300","Rostock Binzer Straße",12.043576,54.141777,""
"704911","Rostock Gedser Straße",12.043603,54.137328,""
"708500","Rostock Saßnitzer Straße",12.04363,54.145823,""
"708409","Rostock Kopenhagener Straße",12.043738,54.134568,""
"705104","Rostock Saßnitzer Straße",12.043792,54.145885,""
"704877","Rostock Binzer Straße",12.043819,54.14229,""
"708348","Rostock Gedser Straße",12.044889,54.137966,""
"705081","Rostock Osloer Straße",12.046525,54.13829,""
"708313","Rostock Diedrichshagen",12.046947,54.167001,""
"704890","Rostock Diedrichshagen",12.047154,54.1671,""
"708466","Rostock Osloer Straße",12.04915,54.137966,""
"708569","Rostock Warnowallee",12.049554,54.139179,""
"708559","Rostock Turkuer Straße",12.049689,54.142047,""
"704981","Rostock Warnowallee",12.049716,54.139305,""
"704969","Rostock Turkuer Straße",12.049842,54.142182,""
"708498","Rostock Rügener Straße",12.049869,54.145085,""
"705102","Rostock Rügener Straße",12.050075,54.145184,""
"708456","Rostock Messestraße",12.051091,54.110684,""
"705068","Rostock Messestraße",12.052026,54.111214,""
"708450","Rostock Maxim-Gorki-Straße",12.052179,54.121597,""
"705063","Rostock Maxim-Gorki-Straße",12.052727,54.122774,""
"708436","Rostock Lütten Klein Zentrum",12.05341,54.13829,""
"705113","Rostock Schutow",12.054192,54.106054,""
"704966","Rostock Theodor-Storm-Straße",12.05439,54.11641,""
"708553","Rostock Theodor-Storm-Straße",12.054462,54.116041,""
"705058","Rostock Lütten Klein Zentrum",12.05457,54.138047,""
"708435","Rostock Lütten Klein Zentrum",12.05501,54.13793,""
"708437","Rostock Lütten Klein Zentrum",12.055046,54.138029,""
"708511","Rostock Schutow",12.056844,54.105596,""
"708521","Rostock St. Petersburger Straße",12.056979,54.135997,""
"708294","Rostock Rigaer Straße",12.057051,54.13989,""
"708377","Rostock Helsinkier Straße",12.057087,54.132518,""
"708523","Rostock St. Petersburger Straße",12.057141,54.135952,""
"704949","Rostock St. Petersburger Straße",12.05715,54.13526,""
"705013","Rostock Helsinkier Straße",12.057231,54.132788,""
"708556","Rostock Thomas-Morus-Straße",12.057231,54.124932,""
"708345","Rostock Fischerdorf",12.057303,54.128824,""
"708522","Rostock St. Petersburger Straße",12.057303,54.136932,""
"708457","Rostock Möllner Straße",12.057321,54.142928,""
"708379","Rostock Helsinkier Straße",12.057348,54.131044,""
"704869","Rostock Rigaer Straße",12.057375,54.140159,""
"708555","Rostock Thomas-Morus-Straße",12.057375,54.12477,""
"704904","Rostock Fischerdorf",12.057447,54.129139,""
"708378","Rostock Helsinkier Straße",12.057465,54.131665,""
"705071","Rostock Möllner Straße",12.057599,54.143368,""
"708342","Rostock Eutiner Straße",12.057761,54.148555,""
"708341","Rostock Eutiner Straße",12.057797,54.147971,""
"708340","Rostock Eutiner Straße",12.057932,54.148537,""
"704901","Rostock Eutiner Straße",12.057968,54.147971,""
"708554","Rostock Thomas-Morus-Straße",12.058058,54.124257,""
"708557","Rostock Thomas-Morus-Straße",12.058076,54.125381,""
"708333","Rostock Elmenhorster Weg",12.058103,54.150695,""
"704967","Rostock Thomas-Morus-Straße",12.058148,54.124473,""
"708330","Rostock Ehm-Welk-Straße",12.058345,54.121713,""
"708299","Rostock Bertolt-Brecht-Straße",12.058354,54.119457,""
"708328","Rostock Ehm-Welk-Straße",12.058453,54.121597,""
"708331","Rostock Elmenhorster Weg",12.058489,54.151288,""
"708332","Rostock Elmenhorster Weg",12.058588,54.151594,""
"705064","Rostock Mecklenburger Allee",12.058633,54.155153,""
